Time,NormalisedFlux
0.0,0.8482446192632126
1.0,0.9050689701823008
2.0,0.9961330385622691
3.0,1.0882440154584854
4.0,1.0825689883090264
5.0,1.1959996623277125
6.0,1.2070570283274706
7.0,1.1753489825972463
8.0,1.147012695268029
9.0,1.222468352625817
10.0,1.2025646389684128
11.0,1.207398905817548
12.0,1.0973351870057366
13.0,1.0766041859442177
14.0,0.9587591705301601
15.0,0.9282572833523848
16.0,0.8680097687896031
17.0,0.8426083924513015
18.0,0.8629276026311291
19.0,0.8228270303108086
20.0,0.8126200888173349
21.0,0.8561992796371198
22.0,0.8595746468109983
23.0,0.8939000269790213
24.0,0.9231237491464441
25.0,0.9530700830318178
26.0,1.0354692726887165
27.0,1.0371876346221054
28.0,1.1476301659882895
29.0,1.1784456701190744
30.0,1.2265716298879672
31.0,1.1642059500611608
32.0,1.1450217853478653
33.0,1.1345379630189136
34.0,1.0912879421167903
35.0,1.1208623412880134
36.0,1.0655201524704
37.0,0.9353057717894352
38.0,0.9438694929990733
39.0,0.9074796898878416
40.0,0.8542694572976682
41.0,0.8830341213198414
42.0,0.7375229774735578
43.0,0.8407989530038172
44.0,0.8141065963698888
45.0,0.829491208728015
46.0,0.7950929157873774
47.0,0.8844005717044537
48.0,0.9459899661328409
49.0,0.9818220278678809
50.0,1.0822508834527043
51.0,1.0942000243704433
52.0,1.162145486653046
53.0,1.2067759144086112
54.0,1.172329880190267
55.0,1.2257487972998131
56.0,1.1699372246941913
57.0,1.1918729500471668
58.0,1.144753481781349
59.0,1.0537832126539128
60.0,0.989876110658494
61.0,0.986106374311857
62.0,0.8861382972664112
63.0,0.89950495352693
64.0,0.8517369169571386
65.0,0.8456188440751116
66.0,0.8334613911694179
67.0,0.7635086168298103
68.0,0.8300446512699544
69.0,0.8481818549822944
70.0,0.925530368801092
71.0,1.0058427634685512
72.0,0.988244407543424
73.0,1.05614976709818
74.0,1.1044384687850664
75.0,1.1129902660055504
76.0,1.1521975139609264
77.0,1.1888066266977593
78.0,1.1833315172237149
79.0,1.177915912738933
80.0,1.1609096172482536
81.0,1.1417405869624129
82.0,1.0429620401297361
83.0,0.9472358758809901
84.0,0.9550045063143219
85.0,0.9509752787563057
86.0,0.8852325068608676
87.0,0.8160119725733924
88.0,0.8140726914075438
89.0,0.792596716912372
90.0,0.880547285381907
91.0,0.8668392687432971
92.0,0.8608997665422903
93.0,0.8846659248221027
94.0,0.9099769474792583
95.0,1.0016952595972939
96.0,1.062532112086182
97.0,1.0895790926142757
98.0,1.156345560955394
99.0,1.1564819178773702
100.0,1.149354336131137
101.0,1.2480105446334422
102.0,1.1522530197112983
103.0,1.1500101997790761
104.0,1.194336925684753
105.0,1.0433952666593
106.0,0.9875288944406764
107.0,0.9879230528934835
108.0,0.8923954982577588
109.0,0.8847735212044735
110.0,0.7992425559221814
111.0,0.770904151628014
112.0,0.8415089562116397
113.0,0.7336315338575903
114.0,0.7593079984447834
115.0,0.8467937305221033
116.0,0.8852913202170442
117.0,0.9353397454732331
118.0,0.9502722441705929
119.0,1.0367452030777962
120.0,1.067044001414736
