Face X Y Equat Polar Type Distance(pc) Radius(pc) NumStars Mass(Mo) BHMass(Mo)
Top 15.83 35.92 246.22 41.10 E6 27268 73 908 328716 456
Top 15.45 37.25 247.47 41.87 SBc 27029 76 856 368285 308
Top 15.39 38.03 247.97 42.36 Sc 27445 62 764 262076 199
Right 2.05 -7.36 272.61 99.28 S0 24539 80 1037 323492 180
Bottom 42.12 8.24 168.93 136.36 SBc 18142 84 792 406446 242
Bottom 43.32 10.00 167.00 135.34 Sa 17734 68 1114 404937 351
Bottom 43.07 9.60 167.43 135.56 Sa 18559 65 768 282454 221
Top 29.59 -42.85 124.63 49.17 E4 28829 116 1147 1001123 516
Top 29.90 -42.95 124.84 49.31 Sa 29029 76 1017 411239 317
Top 30.39 -42.66 125.47 49.33 SBc 28684 82 955 411975 306
Top 30.52 -41.65 126.23 48.93 SBb 28827 89 1257 612449 461
Top 30.20 -44.84 123.96 50.23 SBa 28998 97 1145 584345 291
Right -0.54 -2.21 269.31 92.81 SBc 17032 65 926 341565 314
Right -0.09 -1.29 269.88 91.64 SBa 16540 87 1061 535902 343
Right -1.15 -2.07 268.54 92.63 Sc 17117 74 780 310556 208
Right -1.14 -2.11 268.55 92.68 S0 17293 90 1177 437415 173
Front -1.47 9.48 178.13 78.11 E4 29057 124 1163 1072504 497
Front -0.99 9.83 178.74 77.68 SBa 28662 86 1015 462159 352
Front -1.47 9.58 178.13 77.99 Sb 28394 74 870 406727 336
Back -37.26 24.10 320.38 67.58 S0 25174 85 1140 430014 219
Front 8.80 37.87 191.07 50.45 Sb 14392 69 894 329661 290
Front 10.21 37.19 192.78 51.13 Sb 14133 74 752 368073 261
Front 11.12 39.69 193.88 49.43 Sc 14701 75 756 323326 221
Front 8.48 35.77 190.67 52.00 SBa 14780 89 1060 541041 283
Top -7.50 27.83 285.08 32.64 cD 29649 226 1692 5663563 915
Top -5.57 31.14 280.15 35.11 Sc 29181 73 675 283774 181
Top -9.94 27.11 290.13 32.69 SBc 30250 73 867 326850 209
Top -7.68 28.69 284.99 33.42 S0 31213 75 1028 312747 210
Top -4.83 25.55 280.70 30.02 Sa 30472 71 1155 436976 387
Top -6.36 28.30 282.66 32.80 SBa 30839 79 1323 523898 378
Top -6.76 29.94 282.72 34.30 SBa 31035 101 1165 604299 329
Top -8.46 23.56 289.75 29.08 SBa 29202 84 1162 551543 465
Top -6.96 27.90 284.00 32.58 SBb 31863 82 1050 513516 409
Top -5.52 26.09 281.95 30.65 SBa 30083 98 1211 649829 490
Top -9.66 30.32 287.67 35.26 SBb 29747 82 1075 429035 292
Top -9.90 29.92 288.31 35.00 SBc 28757 75 1003 343400 275
Top -5.10 31.27 279.26 35.15 SBa 28906 101 1066 618798 461
Top -7.14 32.92 282.24 36.82 SBa 29108 97 1156 580708 385
Top -9.00 31.32 286.03 35.91 Sb 30147 74 886 360121 337
Top -4.65 25.33 280.41 29.78 SBa 30121 89 954 489482 302
Top -11.20 27.17 292.39 33.15 SBb 31049 74 1118 484376 431
Top -7.66 30.25 284.21 34.74 SBb 27771 83 856 459200 313
Right -44.29 2.46 225.46 87.77 SBb 15624 78 888 442220 434
Right -43.04 1.79 226.28 88.36 SBa 15803 106 966 594399 268
Right -44.98 3.04 225.01 87.27 SBa 15650 106 990 757620 369
Left 3.61 11.23 94.58 76.04 cD 2000 201 1985 4074436 1068
Left -7.36 4.47 80.72 84.40 SBb 2922 85 984 472020 364
Left -5.68 4.87 82.80 83.88 Sa 3440 71 1031 415606 414
Left 11.73 29.65 104.61 57.48 SBc 3035 64 809 291779 226
Left -14.96 -26.23 71.61 118.95 SBc 1966 71 865 325843 229
Top 24.58 -17.35 144.78 33.77 S0 2031 94 1069 465270 264
Left -20.51 29.33 65.49 59.33 SBc 897 73 804 347227 258
Left 6.21 16.42 97.86 70.13 E2 2726 155 1466 2159018 695
Left 23.68 33.48 117.75 56.64 SBa 2853 75 1134 447690 362
Left -16.64 5.46 69.71 83.50 Sa 2883 79 1045 429459 373
Left -21.64 3.24 64.31 86.29 SBb 2103 89 977 486699 316
Front -31.70 20.42 144.84 69.65 SBb 1866 98 983 578770 298
Top -17.92 -36.09 63.60 41.84 Sa 2336 97 923 540090 301
Top 27.34 -29.15 133.17 41.61 S0 1951 87 1096 400356 221
Front -0.00 -0.00 180.00 90.00 SBb 27 98 1132 588234 348
