Face X Y Equat Polar NumGalax Distance(pc) Radius(pc) Mass(Mo)
Top 15.78 37.16 246.99 41.90 3 27389 500 15499570
Right 2.35 -7.40 272.99 99.33 1 24501 200 5184748
Bottom 42.95 9.67 167.31 135.63 3 18096 500 17655040
Top 29.59 -42.85 124.63 49.17 5 28829 765 48817991
Right -1.19 -1.14 268.49 91.45 4 17036 635 26350051
Front -1.45 9.41 178.15 78.20 3 28769 500 31195560
Back -36.68 23.90 320.82 67.63 1 25184 200 6889757
Front 10.73 37.06 193.41 51.30 4 14660 635 25310031
Top -7.50 27.83 285.08 32.64 18 29649 2224 234476975
Right -43.72 3.30 225.82 86.99 3 15778 500 28839187
Top 20.28 -23.56 130.73 34.64 2 240052 356 82357
Front 43.52 25.84 224.04 67.57 18 362443 2224 15749534
Left -36.00 40.15 51.34 55.14 9 156173 1248 3081467
Right 8.29 29.45 280.43 57.23 2 82369 356 105699
Left 2.12 -13.22 92.70 106.35 4 206439 635 386905
Right -20.17 25.44 245.86 62.71 8 321581 1131 2097781
Back -32.50 -38.89 324.16 125.01 1 379463 200 20013
Top 44.81 8.40 190.62 45.37 8 362224 1131 2005117
Top -13.68 -44.61 72.95 46.04 1 341268 200 21956
Right 17.52 -2.17 291.27 92.58 10 184839 1363 3653959
Bottom 3.38 38.80 94.97 139.13 2 294331 356 86302
Front 18.15 -39.65 201.97 129.25 8 233568 1131 2362882
Left -41.72 -44.49 47.17 125.94 1 288174 200 20760
Right 21.53 -8.01 295.57 99.13 4 159472 635 443044
Right -20.75 -35.94 245.25 125.95 22 343114 2629 25350735
Top 11.88 26.66 245.99 32.97 6 428698 890 1057822
Front 18.35 3.16 202.19 86.28 10 374257 1363 3610326
Left -43.24 -18.22 46.14 106.28 15 364230 1910 10103695
Front 9.92 -33.22 192.43 125.79 1 232722 200 18326
Top -1.91 23.04 274.74 27.20 11 361281 1475 4685766
Front 8.67 43.41 190.90 46.55 5 323857 765 669429
Back -13.04 4.46 343.84 84.57 3 208981 500 204728
Left -17.05 28.35 69.25 59.50 6 329382 890 1093691
Back 0.66 15.81 0.84 70.65 9 371770 1248 2428440
Left 21.61 6.79 115.66 82.25 3 170356 500 212526
Bottom -7.14 26.59 74.96 148.54 16 185023 2016 11340859
Bottom -3.13 0.37 6.73 175.99 20 359967 2428 20589354
Bottom 23.68 28.26 129.97 140.67 1 268030 200 18153
Bottom -3.10 4.71 56.61 172.86 1 358660 200 21747
Top 24.99 -21.41 139.41 36.18 2 365806 356 92326
Left -33.63 -10.31 53.23 100.40 5 337038 765 625060
Front -23.21 -8.05 152.72 99.04 1 362332 200 15753
Left 28.44 20.89 122.29 68.58 3 247990 500 187274
Back -11.99 6.93 345.08 81.54 1 325028 200 19078
Back -7.33 4.25 350.74 84.68 7 208537 1012 1492783
Left 9.50 10.99 101.92 76.57 7 128288 1012 1541136
Back 11.30 1.83 14.09 87.74 11 191049 1475 4391640
Bottom -33.76 19.69 30.25 139.03 25 412228 2924 34532736
Bottom -27.80 2.49 5.13 148.19 3 226816 500 229353
Left 22.62 -10.16 116.69 101.40 5 347542 765 655346
Bottom -5.19 -26.56 281.06 148.97 8 349698 1131 1877142
Top -20.49 6.31 342.88 25.48 8 377545 1131 1987228
Front -32.88 -7.40 143.84 97.57 6 323420 890 1009356
Left -9.88 7.82 77.62 80.37 1 359332 200 20338
Front -18.45 29.58 157.71 58.69 7 363732 1012 1395739
Left -10.18 14.70 77.25 72.33 6 292619 890 959745
Back 22.25 14.37 26.31 74.03 6 216703 890 1083725
Bottom -9.44 -21.52 293.68 152.43 17 170994 2120 14576629
Top 25.97 -15.86 148.59 34.07 1 283899 200 16628
Front -2.51 -5.06 176.81 96.41 1 249937 200 15819
Front -21.14 -6.13 154.84 97.03 4 406774 635 419156
Top -13.89 1.58 353.50 17.26 5 216175 765 564401
Back -6.27 -4.24 352.07 95.33 1 289817 200 17720
Bottom -6.77 -16.59 292.21 158.29 1 238774 200 21222
Top 7.37 18.48 248.27 23.85 8 343645 1131 2104817
Top 35.35 9.17 194.55 39.06 6 383259 890 947283
Front 9.34 -5.33 191.72 96.62 4 358499 635 394511
Left 33.74 10.39 126.86 79.53 2 334648 356 74646
Left 24.02 39.40 118.09 52.31 1 346709 200 17578
Bottom -17.61 -2.09 353.23 158.49 15 312150 1910 10415033
Right -42.30 -26.70 226.77 113.38 1 277361 200 21124
Right 17.54 23.28 291.29 64.27 5 298316 765 713111
Top -9.76 -14.49 56.05 21.22 3 233740 500 229257
Front -0.88 13.96 178.87 72.77 28 215373 3214 49614699
Bottom 27.64 -30.49 227.81 137.56 15 393031 1910 10113521
Bottom 32.16 12.49 158.78 142.52 1 332462 200 22565
Left 0.74 -10.25 90.94 102.83 1 158673 200 22042
Front 2.81 7.97 183.57 79.98 1 182290 200 19433
Left 44.72 8.10 134.82 82.72 6 135831 890 947998
Right -0.47 -5.72 269.40 97.24 17 269815 2120 13920196
Left 33.91 -27.67 127.00 116.15 1 324928 200 18663
Bottom 12.83 18.03 125.43 153.81 10 388568 1363 3742707
Front 34.80 37.50 217.71 56.60 1 364766 200 19759
Front -19.34 -31.38 156.75 122.65 24 316262 2826 31165298
Right -21.28 12.78 244.69 75.60 15 140117 1910 9495086
Front 7.04 -40.07 188.89 131.34 18 320582 2224 15320543
Left 12.65 10.66 105.70 77.15 15 335293 1910 9577220
Back 6.04 -2.09 7.65 92.64 15 332728 1910 9845406
Back 38.13 13.35 40.27 77.25 20 256322 2428 22822546
Bottom 9.07 -35.01 255.47 141.21 6 302160 890 1092524
Bottom 26.22 35.72 126.28 135.44 4 407136 635 356516
Left 8.05 4.27 100.14 84.66 4 433264 635 413376
Front 38.24 -13.65 220.35 103.02 1 357542 200 21646
Bottom -31.79 2.36 4.25 144.69 18 381988 2224 15524259
Right -39.28 -36.36 228.88 121.33 1 268123 200 20826
Top 34.33 -2.44 175.93 37.41 1 335933 200 13737
Bottom -40.67 40.67 45.00 128.04 15 352978 1910 10090276
Right -40.38 -16.79 228.10 105.52 1 302892 200 20649
Right 30.98 28.26 304.54 62.65 1 81974 200 13658
Left 3.61 11.23 94.58 76.04 15 2000 1910 201614679
