Face X Y Equat Polar Type Distance(pc) Radius(pc) NumStars Mass(Mo) BHMass(Mo)
Right 12.47 -38.00 285.49 129.14 E3 26510 131 1297 1308761 537
Right 13.57 -37.22 286.78 128.38 SBa 26457 81 1195 524882 383
Right 11.65 -37.01 284.52 128.52 S0 25738 80 1095 384951 189
Right 12.59 -38.16 285.63 129.24 Sa 26494 76 917 429072 302
Right 10.94 -36.51 283.66 128.25 Sa 26322 67 1025 359185 304
Right 12.29 -36.14 285.28 127.77 S0 25858 101 1060 516533 198
Top -23.32 -2.32 5.69 27.51 E1 7838 164 1547 2248900 750
Top -17.43 -6.73 21.12 22.54 Sa 7986 74 1055 488105 356
Top -20.62 -4.44 12.15 25.12 SBa 6994 82 1201 526555 393
Top -24.72 -2.26 5.21 28.88 SBb 8262 89 935 521570 382
Top -27.59 0.45 359.07 31.52 SBc 7100 75 974 393816 327
Top -21.18 -0.56 1.52 25.22 SBa 8183 103 1096 667970 346
Top -16.24 -4.94 16.93 20.67 SBb 7450 88 910 469347 322
Top -27.40 -6.02 12.40 31.94 SBb 8003 90 1162 574918 374
Bottom -25.42 -21.05 320.38 143.74 E4 27139 114 1160 876726 431
Bottom -26.22 -21.17 321.09 143.17 SBc 26695 71 958 376856 364
Bottom -24.41 -20.37 320.15 144.76 SBb 27018 90 927 451695 347
Bottom -25.33 -20.97 320.38 143.84 SBa 27479 83 1254 566558 418
Bottom -24.78 -19.90 321.23 144.77 S0 26881 100 1061 518170 172
Back -30.07 22.29 326.25 67.62 SBc 8970 78 981 424366 351
Back -29.63 21.37 326.64 68.37 Sa 9105 86 1014 504991 346
Back -31.59 19.04 324.93 70.90 SBc 9547 78 956 411550 272
Top 18.35 29.18 237.83 37.45 cD 19800 202 2274 4287452 1343
Top 26.53 26.72 225.20 39.92 SBc 20977 75 1011 371060 346
Top 24.19 29.58 230.72 40.34 SBc 18774 74 842 318984 201
Top 17.58 38.95 245.71 43.52 S0 20193 86 1156 375833 230
Top 19.07 23.20 230.58 33.72 SBc 19313 66 979 297084 209
Top 20.44 33.44 238.57 41.06 SBa 20495 99 1260 730615 499
Top 23.63 34.11 235.29 42.68 E4 20781 123 1130 1044895 493
Top 12.25 26.90 245.51 33.30 Sb 21030 71 684 279931 230
Top 18.00 19.80 227.73 30.74 Sa 19500 81 999 445685 286
Top 22.16 36.75 238.91 43.64 SBa 19975 88 1182 516798 419
Top 23.45 30.69 232.62 40.64 SBc 17756 67 886 295067 227
Top 24.31 31.30 232.17 41.37 Sc 20444 72 713 301472 252
Top 19.96 27.20 233.72 36.86 SBa 19454 105 1126 692104 349
Top 22.96 31.61 234.01 40.96 E3 19814 138 1251 1395282 635
Top 21.34 28.24 232.91 38.19 E2 19713 160 1396 2178242 659
Top 12.65 29.93 247.09 35.83 SBc 20504 75 830 322381 271
Top 20.73 36.07 240.12 42.76 SBa 18006 88 1144 558205 448
Top 24.54 33.78 234.00 42.86 SBc 21388 75 886 365266 282
Top 23.29 38.12 238.58 44.79 SBc 20928 78 865 386582 233
Top 15.37 20.37 232.96 29.56 E6 20289 83 879 422615 481
Top 23.96 28.45 229.89 39.58 E4 19396 114 1110 822710 531
Top 20.42 31.90 237.38 40.09 SBb 22562 88 1204 629385 427
Top 16.32 30.57 241.91 37.60 SBc 20203 73 991 364174 261
Top 18.63 38.88 244.39 43.77 SBc 18121 78 784 330562 246
Top 18.22 24.43 233.29 34.11 Sc 17804 67 769 299765 254
Top 19.93 34.27 239.82 41.38 Sc 19810 65 868 322129 260
Top 15.83 23.86 236.45 32.47 SBa 21549 87 1115 537338 392
Top -26.06 -23.25 41.74 37.82 cD 22669 227 2129 6239656 1281
Top -23.32 -24.78 46.73 37.09 SBa 23002 95 1150 564103 408
Top -27.23 -22.30 39.31 38.03 Sa 23042 82 1010 459424 385
Top -28.37 -22.25 38.11 38.70 Sc 22164 76 862 379349 267
Top -28.02 -20.70 36.45 37.74 Sc 22250 66 691 258817 210
Top -27.26 -27.58 45.34 40.76 Sc 22776 56 786 261027 265
Top -27.32 -20.43 36.79 37.16 Sb 22704 70 1030 403635 348
Top -23.45 -19.24 39.36 33.98 Sc 22680 67 654 250942 197
Top -24.56 -23.30 43.49 36.95 SBc 23531 77 769 402907 271
Top -23.76 -23.37 44.53 36.52 SBb 22738 85 1094 507025 368
Top -29.07 -25.45 41.21 40.65 Sa 21398 92 886 517041 323
Top -22.25 -20.42 42.54 33.86 Sa 22130 83 996 461521 310
Top -25.82 -23.97 42.88 38.05 SBa 21935 96 1147 603434 412
Right -8.22 16.81 259.65 69.82 cD 24357 208 1803 4544719 940
Right -5.70 17.77 262.78 68.61 SBa 22957 92 1001 554527 306
Right -7.86 13.76 260.09 73.23 Sc 25128 64 736 276681 210
Right -11.10 16.19 256.14 70.74 SBa 23729 86 1081 501621 343
Right -9.22 14.52 258.42 72.46 Sa 25567 78 1026 442059 276
Right -5.87 16.55 262.56 69.97 SBb 24071 97 1177 743317 384
Right -9.93 17.30 257.56 69.43 SBa 25374 86 1088 453887 266
Right -7.73 17.11 260.25 69.45 E2 24820 158 1458 1989551 652
Right -7.77 16.50 260.20 70.13 SBc 25743 81 975 468594 329
Right -10.80 18.13 256.50 68.60 SBb 23709 87 890 493758 293
Right -5.66 16.43 262.83 70.08 Sa 24850 94 930 534018 295
Right -6.99 19.20 261.18 67.14 SBc 23810 71 1007 370242 315
Right -6.66 19.05 261.59 67.28 S0 23283 92 1126 435216 176
