Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S123731 53.4573 126.3523 7.592e-20 1.141e-19 1.879e-19 0.0 112.77 0.0
S123732 53.4291 126.3301 4.1630000000000006e-20 6.539000000000001e-20 1.235e-19 0.0 113.15 0.0
S123733 53.3401 126.4637 3.606e-21 7.29e-21 2.2730000000000002e-20 0.0 112.84 0.0
S123734 53.5672 126.339 7.252e-23 1.745e-22 7.672999999999999e-22 0.0 112.7 0.0
S123735 53.025 126.5428 3.557e-18 3.695e-18 2.871e-18 0.0 112.75 0.0
S123736 53.4618 126.4267 5.692999999999999e-22 1.359e-21 6.115e-21 0.0 112.99 0.0
S123737 53.5173 126.348 5.752999999999999e-22 1.4490000000000001e-21 7.035e-21 0.0 112.66 0.0
S123738 53.4635 126.4465 1.893e-19 2.548e-19 3.343e-19 0.0 112.84 0.0
S123739 53.5283 126.3973 2.839e-21 5.601e-21 1.68e-20 0.0 112.6 0.0
S123740 53.3553 126.4046 1.227e-21 2.569e-21 8.686e-21 0.0 113.12 0.0
S123741 53.4316 126.2254 1.1740000000000001e-20 2.087e-20 4.9150000000000007e-20 0.0 112.88 0.0
S123742 53.2313 126.4323 7.095000000000001e-20 1.089e-19 1.908e-19 0.0 112.97 0.0
S123743 53.4018 126.3393 1.489e-19 2.082e-19 3.013e-19 0.0 112.88 0.0
S123744 53.4436 126.3686 3.594e-21 6.447e-21 1.6230000000000003e-20 0.0 112.7 0.0
S123745 53.465 126.2824 1.0240000000000001e-20 1.856e-20 4.5770000000000006e-20 0.0 112.86 0.0
S123746 53.4686 126.4789 1.078e-19 1.569e-19 2.404e-19 0.0 112.84 0.0
S123747 53.5257 126.3737 1.2140000000000001e-20 2.153e-20 5.0010000000000004e-20 0.0 112.48 0.0
S123748 53.3916 126.475 1.8009999999999997e-22 4.571e-22 2.236e-21 0.0 112.66 0.0
S123749 53.4555 126.3416 1.456e-21 2.8680000000000002e-21 8.3e-21 0.0 112.65 0.0
S123750 53.5229 126.39 2.079e-18 2.268e-18 1.96e-18 0.0 112.64 0.0
S123751 53.485 126.3472 4.4830000000000004e-20 6.89e-20 1.264e-19 0.0 112.76 0.0
S123752 53.5039 126.3457 5.569e-22 1.273e-21 5.204e-21 0.0 112.75 0.0
S123753 53.326 126.2066 3.2699999999999996e-22 7.030999999999999e-22 2.4340000000000002e-21 0.0 112.96 0.0
S123754 53.4217 126.363 1.512e-19 2.074e-19 2.769e-19 0.0 112.94 0.0
S123755 53.4641 126.3919 4.2109999999999994e-22 8.290999999999999e-22 2.478e-21 0.0 112.6 0.0
S123756 53.4111 126.3878 2.6420000000000002e-21 5.248e-21 1.5440000000000002e-20 0.0 112.85 0.0
S123757 53.4781 126.3272 3.244e-20 5.2640000000000003e-20 1.027e-19 0.0 112.94 0.0
S123758 53.3747 126.379 6.105e-22 1.322e-21 4.93e-21 0.0 112.91 0.0
S123759 53.399 126.4397 4.583e-18 4.626e-18 3.588e-18 0.0 112.98 0.0
S123760 53.4106 126.2843 2.864e-21 5.888e-21 1.9310000000000002e-20 0.0 113.16 0.0
S123761 53.354 126.3515 2.008e-18 2.226e-18 2.012e-18 0.0 112.89 0.0
S123762 53.4555 126.3577 4.963e-19 6.17e-19 7.053e-19 0.0 112.76 0.0
S123763 53.5026 126.6388 3.577e-19 4.846e-19 6.578e-19 0.0 112.89 0.0
S123764 53.4184 126.3532 2.324e-16 1.804e-16 7.991e-17 0.0 113.0 1.0
S123765 53.4433 126.3446 1.258e-19 1.818e-19 2.685e-19 0.0 112.82 0.0
S123766 53.4094 126.3105 8.26e-21 1.595e-20 4.312e-20 0.0 112.94 0.0
S123767 53.3554 126.4658 4.506e-21 8.643e-21 2.3160000000000003e-20 0.0 112.83 0.0
S123768 53.4452 126.3881 8.227e-22 1.957e-21 8.392e-21 0.0 112.89 0.0
S123769 53.4605 126.3625 3.633e-23 9.118e-23 4.503999999999999e-22 0.0 112.7 0.0
S123770 53.3248 126.4442 1.8529999999999997e-22 4.951999999999999e-22 2.682e-21 0.001 112.88 0.0
S123771 53.3913 126.3614 1.808e-21 3.666e-21 1.1390000000000002e-20 0.0 112.95 0.0
S123772 53.5131 126.4194 3.727e-23 1.0499999999999999e-22 6.586999999999999e-22 0.0 112.49 0.0
S123773 53.4765 126.362 8.033e-24 2.696e-23 2.3189999999999996e-22 0.0 112.65 0.0
S123774 53.3794 126.2477 1.506e-21 2.995e-21 8.810000000000001e-21 0.0 113.07 0.0
S123775 53.4034 126.354 3.047e-21 2.1430000000000002e-21 7.675e-22 0.0 112.9 0.0
S123776 53.5532 126.4389 2.788e-21 5.159e-21 1.3340000000000002e-20 0.0 112.68 0.0
S123777 53.3778 126.3028 2.003e-16 5.912e-16 4.166e-15 0.0 112.93 1.0
S123778 53.4026 126.3734 1.008e-22 2.984e-22 2.065e-21 0.0 113.08 0.0
S123779 53.4434 126.3649 4.955e-17 8.245e-17 1.765e-16 0.0 112.64 0.0
S123780 53.3869 126.3183 1.484e-21 3.209e-21 1.1260000000000001e-20 0.0 112.96 0.0
S123781 53.3984 126.3688 8.867e-23 2.3799999999999997e-22 1.3240000000000001e-21 0.0 112.77 0.0
S123782 53.4423 126.368 8.327e-21 1.4640000000000003e-20 3.478e-20 0.0 112.73 0.0
S123783 53.437 126.349 3.17e-21 5.634e-21 1.2720000000000002e-20 0.0 112.88 0.0
S123784 53.2795 126.4077 7.8669999999999995e-22 1.874e-21 8.285e-21 0.0 112.86 0.0
S123785 53.4791 126.383 2.197e-17 4.16e-17 1.132e-16 0.0 112.7 0.0
S123786 53.4339 126.2973 1.689e-19 2.464e-19 3.815e-19 0.0 112.91 0.0
S123787 53.6341 126.2751 1.411e-24 5.6039999999999996e-24 7.035999999999999e-23 0.0 112.71 0.0
S123788 53.4634 126.3922 6.066e-19 7.75e-19 8.969e-19 0.0 112.68 0.0
S123789 53.4736 126.3792 1.197e-18 1.356e-18 1.299e-18 0.0 112.65 0.0
S123790 53.2 126.3144 6.884e-17 5.773e-17 2.987e-17 0.0 112.99 0.0
S123791 53.4034 126.3938 2.6310000000000003e-20 4.458e-20 9.560000000000001e-20 0.0 112.58 0.0
S123792 53.4112 126.3413 2.786e-21 5.194e-21 1.3890000000000002e-20 0.0 112.94 0.0
S123793 53.4359 126.3543 3.401e-22 8.661999999999999e-22 4.485e-21 0.0 112.94 0.0
S123794 53.3994 126.4108 7.429e-19 8.562e-19 7.964e-19 0.0 112.78 0.0
S123795 53.437 126.3787 3.671e-21 2.474e-21 8.428999999999999e-22 0.0 112.83 0.0
S123796 53.3692 126.4175 4.092e-20 5.988e-20 9.745000000000001e-20 0.0 113.01 0.0
S123797 53.492 126.361 3.283e-14 1.296e-13 1.613e-12 0.0 112.78 0.0
S123798 53.3799 126.3571 3.915e-21 2.676e-21 9.028e-22 0.0 112.95 0.0
S123799 53.4516 126.37 1.3669999999999998e-22 3.4499999999999997e-22 1.629e-21 0.0 112.79 0.0
S123800 53.4843 126.365 1.284e-24 6.005e-24 1.061e-22 0.0 112.83 0.0
S123801 53.3913 126.3466 1.369e-21 2.919e-21 1.011e-20 0.0 112.84 0.0
S123802 53.3404 126.2799 4.892e-19 6.161e-19 7.123e-19 0.0 112.93 0.0
S123803 53.4095 126.3016 2.3140000000000002e-20 3.859e-20 8.168e-20 0.0 112.86 0.0
S123804 53.4034 126.3541 1.209e-19 1.728e-19 2.598e-19 0.0 112.89 0.0
