Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S234010 297.4669 43.0498 4.469e-19 5.735e-19 7.023e-19 0.0 132.48 0.0
S234011 297.4834 43.0896 9.11e-18 8.748e-18 5.81e-18 0.0 132.45 0.0
S234012 297.5042 43.0721 2.34e-16 1.773e-16 7.703e-17 0.0 129.86 1.0
S234013 297.4873 43.1099 3.559e-19 4.575e-19 5.358e-19 0.0 128.87 0.0
S234014 297.5157 43.0559 5.151e-22 1.1280000000000001e-21 4.103e-21 0.0 133.48 0.0
S234015 297.4717 43.0781 2.918e-23 7.754e-23 4.1759999999999996e-22 0.0 130.55 0.0
S234016 297.5261 43.0759 2.751e-19 3.905e-19 5.617e-19 0.0 130.37 0.0
S234017 297.4323 43.0804 1.087e-17 1.902e-17 4.256e-17 0.0 134.63 0.0
S234018 297.4662 43.0706 5.957e-13 4.291e-13 1.564e-13 0.0 132.93 0.0
S234019 297.4482 43.086 2.202e-21 1.5230000000000001e-21 5.344e-22 0.0 133.3 0.0
S234020 297.451 43.0803 2.776e-17 2.306e-17 1.158e-17 0.0 131.82 0.0
S234021 297.4976 43.0448 2.864e-22 6.2919999999999995e-22 2.359e-21 0.0 131.42 0.0
S234022 297.4923 43.059 2.046e-18 2.236e-18 2e-18 0.0 134.58 0.0
S234023 297.4696 43.0702 5.9390000000000005e-21 1.0600000000000001e-20 2.571e-20 0.0 132.18 0.0
S234024 297.4747 43.0394 2.95e-21 5.646e-21 1.5030000000000002e-20 0.0 129.45 0.0
S234025 297.5331 43.0688 3.646e-17 7.012e-17 1.901e-16 0.0 132.28 0.0
S234026 297.4589 43.0196 7.184e-18 6.863e-18 4.386e-18 0.0 129.01 0.0
S234027 297.4629 43.0715 3.753e-21 2.426e-21 7.492999999999999e-22 0.0 129.65 0.0
S234028 297.4969 43.0715 2.614e-18 2.823e-18 2.384e-18 0.0 133.4 0.0
S234029 297.5102 43.0368 2.349e-16 6.24e-16 3.353e-15 0.0 133.96 1.0
S234030 297.4963 43.0653 3.118e-22 7.437e-22 3.205e-21 0.0 129.78 0.0
S234031 297.493 43.0531 1.503e-21 1.109e-21 4.394e-22 0.0 134.29 0.0
S234032 297.4519 43.052 1.539e-17 1.391e-17 8.292e-18 0.0 129.6 0.0
S234033 297.487 43.0532 6.936e-19 8.545e-19 9.018e-19 0.0 134.18 0.0
S234034 297.5331 43.0792 9.599e-21 1.684e-20 3.939e-20 0.0 134.64 0.0
S234035 297.5254 43.033 7.399e-21 1.237e-20 2.4800000000000002e-20 0.0 135.41 0.0
S234036 297.4555 43.0856 6.957000000000001e-20 1.042e-19 1.733e-19 0.0 135.04 0.0
S234037 297.4786 43.0769 1.676e-20 2.775e-20 5.664000000000001e-20 0.0 129.32 0.0
S234038 297.4747 43.0302 3.348e-17 2.851e-17 1.493e-17 0.0 135.04 0.0
S234039 297.4837 43.0428 3.537e-18 3.813e-18 3.226e-18 0.0 130.76 0.0
S234040 297.4989 43.0757 2.091e-19 2.777e-19 3.519e-19 0.0 130.51 0.0
S234041 297.4955 43.0911 9.668e-25 3.575e-24 3.946e-23 0.0 131.42 0.0
