Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S032975 118.23 50.0978 4.275e-19 5.678e-19 7.202e-19 0.0 76.07 0.0
S032976 118.1373 50.1276 2.049e-23 6.936e-23 6.031e-22 0.0 73.16 0.0
S032977 118.2642 50.079 4.399e-19 5.6e-19 6.828e-19 0.0 76.47 0.0
S032978 118.1195 50.1447 1.551e-19 2.244e-19 3.365e-19 0.0 73.01 0.0
S032979 118.2202 50.1044 6.668e-18 6.734e-18 4.893e-18 0.001 74.59 0.0
S032980 118.2451 50.0841 1.099e-22 2.755e-22 1.329e-21 0.0 76.27 0.0
S032981 118.2659 50.0948 1.232e-22 3.176e-22 1.668e-21 0.0 76.11 0.0
S032982 118.2239 50.1036 3.444e-21 6.774e-21 1.991e-20 0.0 75.65 0.0
S032983 118.0765 50.103 2.828e-19 3.789e-19 4.962e-19 0.0 73.97 0.0
S032984 118.2376 50.1029 8.283999999999999e-23 1.9759999999999998e-22 8.995e-22 0.0 75.58 0.0
S032985 118.1934 50.1287 2.716e-24 1.0199999999999999e-23 1.146e-22 0.001 73.6 0.0
S032986 118.1926 50.086 5.428999999999999e-22 1.203e-21 4.492e-21 0.0 74.7 0.0
S032987 118.2224 50.078 9.789e-21 1.7020000000000003e-20 3.872e-20 0.0 75.53 0.0
S032988 118.2487 50.1086 2.294e-21 5.167e-21 2.0690000000000002e-20 0.0 75.32 0.0
S032989 118.2466 50.1037 6.695e-17 1.084e-16 2.061e-16 0.0 75.48 0.0
S032990 118.1758 50.1161 3.726e-22 8.82e-22 3.874e-21 0.0 73.48 0.0
S032991 118.1136 50.1404 2.913e-24 1.136e-23 1.4389999999999999e-22 0.0 73.06 0.0
S032992 118.2337 50.1433 2.02e-17 2.944e-17 4.529e-17 0.0 74.66 0.0
S032993 118.1962 50.0883 2.279e-19 3.167e-19 4.375e-19 0.0 74.56 0.0
S032994 118.236 50.0919 1.117e-23 3.314e-23 2.242e-22 0.0 76.11 0.0
S032995 118.2074 50.1052 5.595e-23 1.4559999999999998e-22 7.6289999999999995e-22 0.0 74.24 0.0
S032996 118.1687 50.1215 2.667e-23 7.807e-23 5.329e-22 0.0 73.25 0.0
S032997 118.2294 50.0812 6.618e-19 8.063e-19 8.625e-19 0.0 75.74 0.0
S032998 118.2614 50.0652 1.664e-23 5.206e-23 4.0029999999999994e-22 0.0 76.66 0.0
S032999 118.3394 50.0014 1.6939999999999998e-22 4.334e-22 2.189e-21 0.0 77.09 0.0
S033000 118.1378 50.1445 7.054e-23 1.8219999999999999e-22 9.569e-22 0.0 72.81 0.0
S033001 118.2921 50.1169 4.337e-22 1.142e-21 6.368e-21 0.0 75.53 0.0
S033002 118.22 50.109 9.187e-23 2.5959999999999997e-22 1.6540000000000001e-21 0.0 74.64 0.0
S033003 118.234 50.0798 4.61e-24 1.622e-23 1.6009999999999998e-22 0.0 75.8 0.0
S033004 118.1516 50.1256 5.0570000000000003e-20 8.095e-20 1.577e-19 0.0 73.18 0.0
S033005 118.2217 50.1183 3.364e-23 9.926e-23 6.954999999999999e-22 0.0 74.56 0.0
S033006 118.147 50.1367 1.0459999999999999e-22 2.7279999999999996e-22 1.479e-21 0.0 72.99 0.0
S033007 118.2452 50.0813 5.064e-21 9.348e-21 2.4790000000000003e-20 0.001 75.98 0.0
S033008 118.113 50.1685 1.768e-18 2.008e-18 1.936e-18 0.0 72.79 0.0
