Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S422780 159.1094 26.7106 3.321e-23 8.991999999999999e-23 5.119e-22 0.001 170.6 0.0
S425033 159.4477 27.1913 2.699e-18 2.935e-18 2.567e-18 0.0 177.92 0.0
S425034 159.3705 27.1172 6.7e-19 8.179e-19 8.76e-19 0.0 178.31 0.0
S425035 159.4434 27.2024 2.704e-19 3.447e-19 3.983e-19 0.0 176.89 0.0
S425036 159.4683 27.197 3.9220000000000006e-20 6.279000000000001e-20 1.15e-19 0.0 177.16 0.0
S425037 159.4457 27.1884 3.484e-18 3.545e-18 2.652e-18 0.001 178.01 0.0
S425038 159.5515 27.1924 1.456e-21 2.777e-21 7.556e-21 0.0 177.39 0.0
S425039 159.4631 27.1861 3.045e-17 6.687e-17 2.412e-16 0.0 177.76 0.0
S425040 159.4158 27.1625 1.6989999999999999e-22 4.443999999999999e-22 2.298e-21 0.0 178.35 0.0
S425041 159.4403 27.1989 3.107e-20 5.141e-20 1.083e-19 0.0 176.85 0.0
S425042 159.3922 27.1791 6.518e-20 9.701000000000001e-20 1.547e-19 0.0 177.91 0.0
S425043 159.494 27.1499 9.170000000000001e-20 1.265e-19 1.814e-19 0.0 178.24 0.0
S425044 159.4445 27.2868 5.007e-21 8.956e-21 2.1660000000000002e-20 0.0 176.56 0.0
S425045 159.4675 27.2112 2.257e-21 4.243e-21 1.144e-20 0.0 176.76 0.0
S425046 159.5288 27.184 5.019e-22 1.048e-21 3.5370000000000004e-21 0.0 177.56 0.0
S425047 159.4297 27.1923 5.152e-18 5.055e-18 3.437e-18 0.0 177.46 0.0
S425048 159.5633 27.2102 9.5e-24 2.827e-23 1.9389999999999998e-22 0.0 177.23 0.0
S425049 159.4968 27.2652 1.1159999999999999e-23 3.483e-23 2.6969999999999995e-22 0.001 176.61 0.0
S425050 159.5087 27.2307 2.5780000000000004e-20 4.0680000000000005e-20 7.794000000000001e-20 0.0 176.77 0.0
S425051 159.4355 27.184 1.099e-17 1.836e-17 3.77e-17 0.0 178.01 0.0
S425052 159.4373 27.2577 4.381e-22 1.0150000000000001e-21 4.244e-21 0.0 176.89 0.0
S425053 159.1785 27.0816 2.948e-17 2.68e-17 1.594e-17 0.0 178.32 0.0
S425054 159.5022 27.1761 1.5930000000000002e-20 2.688e-20 5.637e-20 0.0 177.84 0.0
S425055 159.5353 27.1037 2.572e-21 1.767e-21 6.092999999999999e-22 0.0 178.33 0.0
S425056 159.4431 27.1945 8.839e-25 3.595e-24 4.862e-23 0.0 176.7 0.0
S425057 159.4492 27.1908 9.522e-23 2.584e-22 1.517e-21 0.0 177.77 0.0
S425058 159.2597 27.1476 5.319999999999999e-23 1.5189999999999997e-22 9.451e-22 0.0 177.9 0.0
S425059 159.4688 27.1691 1.4250000000000001e-21 2.98e-21 9.668e-21 0.0 178.12 0.0
S425060 159.4036 27.1993 2.908e-19 3.575e-19 4e-19 0.0 177.3 0.0
S425061 159.4467 27.1904 7.138e-27 5.223e-26 2.331e-24 0.0 178.09 1.0
S425062 159.4044 27.2749 3.19e-19 3.861e-19 4.196e-19 0.0 176.69 0.0
S425063 159.46 27.1104 7.852e-23 1.912e-22 8.675e-22 0.0 178.31 0.0
S425064 159.3875 27.1989 1.555e-17 3.154e-17 9.535e-17 0.0 177.4 0.0
S425065 159.4935 27.2565 5.78e-20 8.673e-20 1.436e-19 0.0 176.58 0.0
S425066 159.3976 27.2012 1.293e-19 1.696e-19 2.117e-19 0.0 177.37 0.0
S425067 159.452 27.1692 7.57e-21 1.2290000000000001e-20 2.353e-20 0.0 178.27 0.0
S425068 159.2772 27.1227 2.383e-17 3.787e-17 6.977e-17 0.0 178.06 0.0
S425069 159.4662 27.3105 1.143e-22 2.761e-22 1.252e-21 0.0 176.58 0.0
S425070 159.4603 27.2484 2.264e-22 5.7129999999999995e-22 2.824e-21 0.0 176.63 0.0
S425071 159.4004 27.1866 5.038e-20 7.062000000000001e-20 1.045e-19 0.0 177.85 0.0
S425072 159.4166 27.1928 1.6599999999999997e-22 3.913e-22 1.719e-21 0.0 177.53 0.0
S425073 159.4311 27.1785 2.213e-21 1.5470000000000001e-21 5.54e-22 0.0 178.07 0.0
S425074 159.4435 27.1929 2.604e-22 6.208e-22 2.683e-21 0.0 177.17 0.0
S425075 159.4644 27.1951 6.595e-18 6.352e-18 4.33e-18 0.0 177.37 0.0
S425076 159.4341 27.1806 1.433e-18 1.58e-18 1.394e-18 0.0 178.06 0.0
S425077 159.3637 27.2013 2.3380000000000003e-25 1.038e-24 1.66e-23 0.0 177.37 0.0
S425078 159.5097 27.1818 6.786e-18 6.694e-18 4.64e-18 0.0 177.89 0.0
S425079 159.4076 27.1745 3.824e-21 7.473e-21 2.1470000000000003e-20 0.0 178.14 0.0
S425080 159.3706 27.2027 3.449e-17 5.817e-17 1.222e-16 0.0 177.41 0.0
S425081 159.4401 27.1977 2.246e-20 3.7310000000000004e-20 7.697e-20 0.0 176.98 0.0
S425082 159.4472 27.1915 1.359e-20 2.2760000000000002e-20 4.8950000000000006e-20 0.0 178.13 0.0
S425083 159.4862 27.1974 6.478e-19 7.612e-19 7.64e-19 0.0 177.21 0.0
S425084 159.4423 27.193 2.204e-21 1.528e-21 5.452e-22 0.0 177.2 0.0
S425085 159.4377 27.1753 9.79e-21 1.7310000000000002e-20 4.2060000000000005e-20 0.0 178.21 0.0
S425086 159.511 27.1918 7.437e-22 1.676e-21 6.634e-21 0.0 177.38 0.0
S425087 159.3397 27.2223 2.025e-23 5.1399999999999997e-23 2.622e-22 0.0 177.1 0.0
S425088 159.4449 27.2173 2.027e-21 4.2500000000000004e-21 1.384e-20 0.0 176.72 0.0
S425089 159.506 27.1793 4.361e-22 9.773e-22 3.717e-21 0.0 177.83 0.0
S425090 159.4964 27.1296 1.9289999999999998e-22 5.02e-22 2.572e-21 0.0 178.26 0.0
S425091 159.4751 27.2289 6.324e-23 1.674e-22 8.799999999999998e-22 0.0 176.64 0.0
S425092 159.3121 27.08 1.174e-27 9.887999999999999e-27 5.907e-25 0.0 178.47 0.0
S425093 159.4327 27.1852 2.5579999999999997e-22 6.379999999999999e-22 3.061e-21 0.0 177.89 0.0
S425094 159.4017 27.1318 2.015e-21 4.037e-21 1.235e-20 0.0 178.38 0.0
S425095 159.6095 27.1245 2.8e-20 4.4150000000000003e-20 8.134000000000001e-20 0.0 177.92 0.0
S425096 159.4653 27.1985 7.981000000000001e-20 1.122e-19 1.65e-19 0.0 177.15 0.0
S425097 159.4997 27.2099 5.1549999999999995e-23 1.355e-22 7.207999999999999e-22 0.0 177.17 0.0
S425098 159.467 27.2053 3.201e-17 5.021e-17 8.87e-17 0.0 176.95 0.0
S425099 159.5708 27.1573 4.859e-21 9.288e-21 2.502e-20 0.0 177.87 0.0
S425100 159.4644 27.1441 2.0410000000000002e-20 3.286e-20 6.151e-20 0.0 178.33 0.0
S425101 159.4671 27.1438 4.17e-23 1.1299999999999998e-22 6.236e-22 0.0 178.37 0.0
S425102 159.3736 27.1834 4.559e-23 1.1939999999999999e-22 6.379999999999999e-22 0.0 177.82 0.0
S425103 159.464 27.1953 8.951e-20 1.196e-19 1.597e-19 0.0 177.22 0.0
S425104 159.4849 27.1908 1.485e-19 2.029e-19 2.771e-19 0.0 177.53 0.0
S425105 159.5229 27.2092 3.568e-20 5.507000000000001e-20 9.685000000000001e-20 0.0 177.17 0.0
S425106 159.351 27.212 2.186e-21 4.627e-21 1.529e-20 0.0 177.27 0.0
S425107 159.5791 27.2553 5.139e-19 6.056e-19 6.081e-19 0.0 176.78 0.0
S425108 159.4211 27.1875 2.09e-22 4.947e-22 2.158e-21 0.0 177.77 0.0
S425109 159.5523 27.296 1.998e-17 1.712e-17 9.454e-18 0.0 176.72 0.0
S425110 159.4147 27.1561 2.5e-21 1.704e-21 5.900999999999999e-22 0.0 178.19 0.0
S425111 159.4371 27.1885 2.987e-23 8.899999999999999e-23 6.3219999999999995e-22 0.0 177.95 0.0
S425112 159.3345 27.3148 6.925e-19 8.355e-19 8.712e-19 0.0 176.58 0.0
S425113 159.4473 27.1929 2.194e-17 1.926e-17 1.067e-17 0.0 177.31 0.0
S425114 159.4416 27.1832 1.5899999999999998e-22 4.1009999999999995e-22 2.08e-21 0.0 178.05 0.0
S425115 159.4691 27.2072 2.5660000000000002e-20 3.9290000000000006e-20 6.748e-20 0.0 177.02 0.0
S425116 159.3687 27.1852 2.069e-19 2.718e-19 3.309e-19 0.0 177.73 0.0
S425117 159.4684 27.1972 1.577e-20 2.838e-20 6.876e-20 0.0 177.32 0.0
S425118 159.375 27.1994 5.45e-22 1.129e-21 3.776e-21 0.0 177.27 0.0
S425119 159.4347 27.2178 1.6860000000000002e-20 2.8260000000000004e-20 5.871e-20 0.0 176.81 0.0
S425120 159.3787 27.1766 8.806e-17 1.822e-16 5.971e-16 0.0 177.87 1.0
S425121 159.4567 27.1869 1.1100000000000001e-21 2.3e-21 7.49e-21 0.0 177.99 0.0
S425122 159.3523 27.2265 6.189e-21 1.2050000000000001e-20 3.2730000000000006e-20 0.0 177.23 0.0
S425123 159.6029 27.1938 7.725e-19 8.95e-19 8.636e-19 0.0 177.44 0.0
S425124 159.5127 27.2361 6.839e-20 9.542000000000001e-20 1.387e-19 0.0 176.92 0.0
S425125 159.4308 27.1921 5.183e-18 4.997e-18 3.367e-18 0.0 177.57 0.0
S425126 159.4915 27.2125 7.258e-21 1.299e-20 3.0730000000000005e-20 0.0 176.91 0.0
S425127 159.4451 27.1952 1.141e-17 2.086e-17 5.498e-17 0.0 176.8 0.0
S425128 159.2255 27.2725 4.6809999999999996e-23 1.2559999999999998e-22 6.982999999999999e-22 0.0 177.01 0.0
S425129 159.4286 27.2155 6.206e-22 1.363e-21 4.886e-21 0.0 176.76 0.0
S425130 159.4449 27.1944 8.056999999999999e-22 1.6420000000000001e-21 5.003e-21 0.0 176.69 0.0
S425131 159.5597 27.1402 4.4249999999999997e-23 1.213e-22 7.102999999999999e-22 0.0 177.95 0.0
S425132 159.451 27.2061 4.878e-23 1.447e-22 9.888e-22 0.0 176.87 0.0
S425133 159.4648 27.2036 6.16e-21 1.1840000000000002e-20 3.256e-20 0.0 176.99 0.0
S425134 159.4183 27.2051 3.6059999999999997e-22 7.520999999999999e-22 2.593e-21 0.0 177.06 0.0
S425135 159.4305 27.2 4.653e-21 8.384e-21 2.008e-20 0.0 177.08 0.0
S425136 159.5376 27.2187 6.68e-18 6.134e-18 3.774e-18 0.0 177.04 0.0
S425137 159.4766 27.2477 7.989e-22 1.766e-21 6.433e-21 0.0 176.66 0.0
S425138 159.4476 27.1853 4.483e-25 1.908e-24 2.7409999999999996e-23 0.0 178.07 0.0
S425139 159.4429 27.1915 1.802e-23 5.821e-23 4.704e-22 0.0 177.97 0.0
S425140 159.3415 27.2036 1.0599999999999998e-22 2.718e-22 1.406e-21 0.0 177.27 0.0
S425141 159.3782 27.2797 1.589e-22 3.534e-22 1.329e-21 0.0 176.66 0.0
S425142 159.3268 27.2069 2.645e-21 5.316e-21 1.657e-20 0.0 177.27 0.0
S425143 159.4697 27.1055 1.5129999999999998e-22 3.6569999999999996e-22 1.638e-21 0.0 178.32 0.0
S425144 159.4665 27.1547 1.04e-21 2.343e-21 9.003e-21 0.0 178.46 0.0
S425145 159.5016 27.1725 1.191e-23 3.672e-23 2.8389999999999996e-22 0.0 177.98 0.0
S425146 159.4503 27.1798 7.28e-21 1.2500000000000001e-20 2.8250000000000005e-20 0.0 177.92 0.0
S425147 159.4166 27.2191 4.1189999999999996e-23 1.135e-22 6.679e-22 0.0 176.84 0.0
S425148 159.4214 27.2688 7.703e-18 7.442e-18 5.141e-18 0.0 176.67 0.0
S425149 159.5652 27.1913 9.339e-19 1.079e-18 1.044e-18 0.0 177.25 0.0
S425150 159.459 27.2333 1.0729999999999999e-24 3.825e-24 4.004e-23 0.001 176.69 0.0
S425151 159.4604 27.2029 1.718e-18 1.946e-18 1.856e-18 0.0 176.98 0.0
S425152 159.3615 27.1704 1.0550000000000001e-20 1.88e-20 4.471e-20 0.0 177.98 0.0
S425153 159.3846 27.2396 8.687e-23 2.3199999999999997e-22 1.332e-21 0.0 176.74 0.0
S425154 159.4092 27.2259 9.887e-20 1.386e-19 2.006e-19 0.0 176.62 0.0
S425155 159.3808 27.1888 7.209e-24 2.3699999999999998e-23 2.1129999999999997e-22 0.0 177.72 0.0
S425156 159.3866 27.2175 6.193e-23 1.588e-22 8.355999999999999e-22 0.0 176.9 0.0
S425157 159.3355 27.1872 1.539e-18 1.685e-18 1.492e-18 0.0 177.48 0.0
S425158 159.4512 27.1942 8.339000000000001e-26 4.231e-25 9.419e-24 0.0 177.22 0.0
S425159 159.4438 27.1929 7.653999999999999e-22 1.59e-21 5.242e-21 0.001 176.81 0.0
S425160 159.4632 27.1944 6.608e-21 1.216e-20 3.008e-20 0.0 177.34 0.0
S425161 159.5559 27.1039 8.035e-21 1.429e-20 3.3100000000000003e-20 0.0 178.01 0.0
S425162 159.4438 27.2368 2.412e-21 1.677e-21 5.972999999999999e-22 0.0 176.54 0.0
S425163 159.4312 27.2407 4.3380000000000004e-20 6.387e-20 1.059e-19 0.0 176.73 0.0
S425164 159.4844 27.2298 1.859e-17 3.664e-17 1.065e-16 0.0 176.65 0.0
S425165 159.5947 27.1123 6.003e-19 7.358e-19 7.938e-19 0.0 178.11 0.0
S425166 159.4387 27.1953 6.405999999999999e-22 1.468e-21 5.8790000000000004e-21 0.0 177.17 0.0
S425168 159.4367 27.1936 4.3020000000000005e-20 6.905e-20 1.295e-19 0.0 177.25 0.0
