Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S408747 77.8717 53.8564 9.585e-19 1.202e-18 1.357e-18 0.0 145.47 0.0
S413247 77.9689 53.8209 2.719e-13 1.794e-13 5.924e-14 0.0 151.78 0.0
S413248 77.9665 53.8528 2.095e-17 2.012e-17 1.313e-17 0.0 150.63 0.0
S413249 77.9654 53.8559 2.649e-19 3.525e-19 4.649e-19 0.0 152.43 0.0
S413250 78.0481 53.8197 1.825e-17 1.783e-17 1.234e-17 0.0 147.57 0.0
S413251 77.948 53.8458 6.017e-17 4.993e-17 2.532e-17 0.0 153.23 0.0
S413252 77.9067 53.8181 5.259e-21 1.0580000000000002e-20 3.3080000000000005e-20 0.0 149.16 0.0
S413253 77.9505 53.8125 1.225e-21 2.645e-21 9.392e-21 0.0 152.58 0.0
S413254 77.9213 53.8719 7.163e-18 7.551e-18 6.283e-18 0.0 148.16 0.0
S413255 77.9752 53.8481 7.456e-18 7.743e-18 6.112e-18 0.0 148.19 0.0
S413256 77.9969 53.8539 5.098e-17 4.447e-17 2.479e-17 0.0 147.9 0.0
S413257 77.9564 53.8341 1.466e-20 2.577e-20 5.847e-20 0.0 148.29 0.0
S413258 77.9162 53.832 5.809e-18 5.914e-18 4.48e-18 0.0 151.27 0.0
S413259 77.9218 53.8141 4.14e-17 8.932e-17 3.209e-16 0.0 148.09 0.0
S413260 77.9133 53.8096 1.102e-19 1.617e-19 2.604e-19 0.0 151.05 1.0
S413261 77.9282 53.8335 3.38e-20 5.718e-20 1.225e-19 0.0 153.28 0.0
S413262 77.9282 53.8486 2.998e-17 2.671e-17 1.519e-17 0.001 149.29 0.0
S413263 77.9642 53.8178 3.126e-18 3.417e-18 2.893e-18 0.0 149.14 0.0
S413264 77.9856 53.8644 1.033e-15 7.149e-16 2.572e-16 0.0 151.54 0.0
S413265 77.8722 53.8806 8.06e-24 3.0499999999999997e-23 3.3839999999999998e-22 0.0 153.4 0.0
S413266 77.9159 53.8409 7.122e-20 1.103e-19 1.978e-19 0.0 151.82 0.0
S413267 77.9734 53.8586 9.112999999999999e-23 2.3269999999999996e-22 1.179e-21 0.0 153.42 0.0
S413268 78.0122 53.8382 3.885e-20 5.906e-20 1.018e-19 0.0 153.37 0.0
S413269 77.8837 53.8347 1.047e-16 1.912e-16 4.803e-16 0.0 153.54 0.0
S413270 77.9115 53.8427 3.78e-17 6.299e-17 1.294e-16 0.0 151.03 0.0
S413271 77.9335 53.7923 8.991e-13 6.049e-13 2.084e-13 0.0 149.44 0.0
S413272 77.9179 53.8634 9.867000000000001e-21 1.797e-20 4.4460000000000006e-20 0.0 151.04 0.0
S413273 77.9251 53.8247 1.06e-18 1.306e-18 1.424e-18 0.0 149.62 0.0
S413274 77.9105 53.8298 1.07e-17 1.066e-17 7.549e-18 0.0 152.03 0.0
S413275 77.997 53.8524 7.476e-19 9.317e-19 1.073e-18 0.0 149.22 0.0
S413276 77.983 53.8209 2.986e-18 3.061e-18 2.405e-18 0.0 150.19 0.0
S413277 77.945 53.8026 1.282e-17 1.245e-17 8.501e-18 0.0 151.37 0.0
S413278 77.9821 53.7966 7.336e-23 1.7879999999999998e-22 8.299e-22 0.0 150.58 0.0
S413279 77.9205 53.8476 5.795e-23 1.63e-22 1.043e-21 0.0 149.91 1.0
S413280 77.9583 53.83 6.775e-21 1.3290000000000002e-20 3.9440000000000004e-20 0.0 152.99 0.0
S413281 77.8859 53.8204 1.205e-18 1.372e-18 1.295e-18 0.0 151.76 0.0
S413282 77.9949 53.7852 4.008e-21 7.906000000000001e-21 2.2930000000000002e-20 0.001 152.84 0.0
S413283 77.9133 53.8083 1.117e-19 1.763e-19 3.223e-19 0.0 151.23 0.0
S413284 77.9276 53.8111 1.665e-17 1.582e-17 1.009e-17 0.0 149.13 0.0
S413285 77.8877 53.7945 1.453e-21 3.255e-21 1.2660000000000001e-20 0.0 148.48 0.0
S413286 77.8915 53.8388 6.865e-15 4.538e-15 1.413e-15 0.0 150.11 0.0
S413287 77.9516 53.855 2.157e-18 2.407e-18 2.201e-18 0.0 151.07 0.0
S413288 77.9373 53.8126 1.352e-17 1.268e-17 8.15e-18 0.0 152.66 0.0
S413289 77.9128 53.8277 3.326e-17 3.189e-17 2.094e-17 0.0 152.39 0.0
S413290 77.943 53.8747 2.784e-22 7.107999999999999e-22 3.6200000000000004e-21 0.0 153.7 0.0
S413291 77.9608 53.828 6.445e-19 7.715e-19 8.063e-19 0.0 151.24 0.0
S413292 77.938 53.7936 4.444e-21 3.034e-21 1.048e-21 0.0 148.88 0.0
S413293 77.9592 53.8527 1.479e-18 1.76e-18 1.744e-18 0.0 150.63 0.0
S413294 77.9142 53.8043 2.398e-20 4.0120000000000005e-20 8.498000000000001e-20 0.0 152.94 0.0
S413295 77.9234 53.8208 2.646e-17 2.448e-17 1.556e-17 0.0 151.95 0.0
S413296 77.9561 53.8208 2.91e-17 4.762e-17 9.536e-17 0.0 150.63 0.0
S413297 77.9941 53.8539 7.861e-20 1.2e-19 2.075e-19 0.0 147.77 0.0
S413298 77.8738 53.8469 1.415e-12 1.059e-12 4.396e-13 0.0 151.48 1.0
S413299 77.9977 53.8 5.38e-17 4.771e-17 2.697e-17 0.0 153.45 0.0
S413300 77.9229 53.8357 3.408e-19 4.538e-19 5.878e-19 0.0 151.49 0.0
S413301 77.875 53.8215 4.948e-21 8.793e-21 2.011e-20 0.0 153.15 0.0
S413302 77.9138 53.818 2.724e-17 2.561e-17 1.592e-17 0.0 148.35 0.0
S413303 77.9882 53.8208 3.658e-18 4.001e-18 3.386e-18 0.0 153.0 0.0
S413304 78.0168 53.8498 4.5509999999999996e-23 1.2559999999999998e-22 7.236999999999999e-22 0.0 153.03 0.0
S413305 77.9203 53.8608 2.603e-19 3.34e-19 3.96e-19 0.0 150.55 0.0
S413306 77.8832 53.8161 1.76e-23 5.402e-23 3.9409999999999998e-22 0.0 151.32 0.0
S413307 77.9129 53.8114 7.34e-17 1.113e-16 1.919e-16 0.0 148.21 0.0
S413308 77.9838 53.8226 3.1299999999999997e-22 7.604e-22 3.372e-21 0.0 149.24 0.0
S413309 77.9237 53.8513 1.991e-16 1.553e-16 6.666e-17 0.0 149.05 0.0
S413310 77.9117 53.8374 7.33e-20 1.062e-19 1.709e-19 0.001 153.15 0.0
