Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S093208 21.2326 106.1483 2.041e-21 1.397e-21 4.817999999999999e-22 0.0 103.4 0.0
S093418 21.2312 106.1359 7.297e-20 1.014e-19 1.494e-19 0.0 103.39 0.0
S093425 21.1454 106.2363 4.165e-19 4.685e-19 4.186e-19 0.0 104.06 0.0
S096338 21.4082 106.2517 3.645e-20 5.1800000000000004e-20 7.816000000000001e-20 0.0 105.32 0.0
S096339 21.296 106.2742 7.19e-19 9.003e-19 9.883e-19 0.0 103.02 0.0
S096340 21.3638 106.2688 8.555e-18 7.996e-18 5.046e-18 0.0 105.28 1.0
S096341 21.3937 106.2315 7.271e-21 1.2850000000000001e-20 2.987e-20 0.0 105.15 0.0
S096342 21.3248 106.2681 9.492e-19 1.057e-18 9.399e-19 0.0 103.35 0.0
S096343 21.4388 106.1834 2.212e-21 1.519e-21 5.168e-22 0.0 105.08 0.0
S096344 21.3467 106.267 3.732e-21 6.5920000000000004e-21 1.5300000000000002e-20 0.0 105.18 0.0
S096345 21.3293 106.2359 3.777e-17 3.161e-17 1.607e-17 0.0 104.05 0.0
S096346 21.337 106.2998 1.0049999999999999e-22 2.396e-22 1.029e-21 0.0 104.59 0.0
S096347 21.3512 106.2805 3.027e-21 5.385e-21 1.242e-20 0.0 105.08 0.0
S096348 21.3573 106.3179 6.674999999999999e-22 1.259e-21 3.343e-21 0.0 104.74 0.0
S096349 21.3146 106.3174 9.141999999999999e-23 2.3119999999999996e-22 1.195e-21 0.0 103.95 0.0
S096350 21.4237 106.3116 9.297e-19 1.066e-18 1.027e-18 0.0 105.41 0.0
S096351 21.2973 106.2776 6.952000000000001e-20 9.624000000000001e-20 1.362e-19 0.0 103.13 0.0
S096352 21.3617 106.3142 3.09e-18 3.092e-18 2.219e-18 0.0 104.72 0.0
S096353 21.3288 106.2662 1.0379999999999999e-22 2.227e-22 7.723999999999999e-22 0.0 103.63 0.0
S096354 21.3296 106.2655 2.392e-21 4.601e-21 1.2780000000000001e-20 0.0 103.87 0.0
S096355 21.333 106.2655 7.934e-13 7.567e-13 5.115e-13 0.0 104.57 1.0
S096356 21.335 106.2675 2.108e-21 3.926e-21 1.04e-20 0.0 104.84 0.0
S096357 21.3262 106.3113 4.6189999999999995e-23 1.1899999999999998e-22 6.095999999999999e-22 0.0 104.32 0.0
S096358 21.2855 106.1978 2.267e-18 2.283e-18 1.687e-18 0.0 103.54 0.0
S096359 21.3768 106.3212 1.55e-17 2.908e-17 7.531e-17 0.0 104.98 0.0
S096360 21.3368 106.2982 1.3719999999999998e-22 3.4099999999999995e-22 1.656e-21 0.0 104.7 0.0
S096361 21.332 106.274 3.0929999999999997e-22 6.774999999999999e-22 2.406e-21 0.0 104.4 0.0
S096362 21.3243 106.2854 1.024e-17 1.764e-17 3.886e-17 0.0 103.94 0.0
S096363 21.3546 106.2814 1.359e-21 2.628e-21 7.539e-21 0.0 105.03 0.0
S096364 21.3159 106.2694 2.475e-17 2.091e-17 1.07e-17 0.0 103.16 0.0
S096365 21.2788 106.3132 1.1489999999999998e-22 2.6019999999999996e-22 1.016e-21 0.0 103.47 0.0
S096366 21.3682 106.347 3.813e-17 3.305e-17 1.773e-17 0.0 104.82 0.0
S096367 21.3403 106.2594 2.733e-18 2.706e-18 1.907e-18 0.0 104.62 0.0
S096368 21.3292 106.265 2.449e-23 6.515e-23 3.5469999999999997e-22 0.0 103.52 0.0
S096369 21.3266 106.271 1.758e-21 3.624e-21 1.1640000000000001e-20 0.0 103.36 0.0
S096370 21.3376 106.2668 3.86e-21 6.536e-21 1.4400000000000003e-20 0.0 104.94 0.0
S096371 21.3435 106.289 7.787000000000001e-20 1.109e-19 1.735e-19 0.0 104.74 0.0
S096372 21.3765 106.2513 1.154e-20 1.864e-20 3.499e-20 0.0 105.23 0.0
S096373 21.2511 106.234 2.43e-21 4.537e-21 1.2340000000000002e-20 0.0 102.94 0.0
S096374 21.3815 106.2065 9.718e-23 2.3479999999999996e-22 1.081e-21 0.0 104.98 0.0
S096375 21.3247 106.265 2.713e-20 4.091e-20 6.93e-20 0.0 103.32 0.0
S096376 21.3561 106.2955 6.991e-23 1.971e-22 1.173e-21 0.0 105.12 0.0
S096377 21.3579 106.3288 2.091e-25 9.595000000000001e-25 1.638e-23 0.0 104.68 0.0
S096378 21.2502 106.2749 1.302e-16 3.532e-16 2.12e-15 0.0 103.06 1.0
S096379 21.3296 106.2669 2.814e-21 5.435e-21 1.5130000000000002e-20 0.0 103.39 0.0
S096380 21.293 106.2493 1.625e-23 4.543e-23 2.7659999999999997e-22 0.0 103.05 0.0
S096381 21.2947 106.3329 9.448e-18 1.61e-17 3.448e-17 0.0 103.73 0.0
S096382 21.3323 106.2752 2.7409999999999996e-23 7.206e-23 3.8779999999999995e-22 0.0 104.27 0.0
S096383 21.3603 106.255 4.506999999999999e-22 9.384e-22 3.122e-21 0.0 104.97 0.0
S096384 21.2921 106.28 2.269e-19 3.072e-19 4.068e-19 0.0 103.21 0.0
S096385 21.3164 106.2696 1.212e-18 1.345e-18 1.196e-18 0.0 103.35 1.0
S096386 21.2483 106.3393 3.794e-19 4.499e-19 4.809e-19 0.0 103.36 0.0
S096387 21.3346 106.2665 3.597e-19 4.443e-19 4.858e-19 0.0 104.59 0.0
S096388 21.369 106.1922 3.819e-21 7.073e-21 1.843e-20 0.0 104.57 0.0
S096389 21.3124 106.2855 5.114e-19 6.055e-19 5.909e-19 0.0 103.47 0.0
S096390 21.3316 106.2588 4.758e-23 1.3669999999999998e-22 8.996e-22 0.0 104.06 0.0
S096391 21.351 106.2368 3.774e-20 5.375e-20 8.333000000000001e-20 0.0 104.8 0.0
S096392 21.3324 106.2704 8.229e-19 9.239e-19 8.606e-19 0.0 104.41 0.0
S096393 21.3514 106.2661 3.375e-24 1.104e-23 9.153e-23 0.0 105.29 0.0
S096394 21.3247 106.2682 1.044e-24 3.751e-24 3.8069999999999996e-23 0.0 103.29 0.0
S096395 21.297 106.2673 5.662999999999999e-22 1.24e-21 4.658e-21 0.0 103.2 0.0
S096396 21.341 106.2584 4.656e-19 5.086e-19 4.371e-19 0.0 104.68 0.0
S096397 21.3523 106.2808 2.759e-19 3.399e-19 3.794e-19 0.0 105.1 0.0
S096398 21.3317 106.2672 8.853e-22 1.841e-21 6.148e-21 0.0 104.0 0.0
S096399 21.3309 106.2684 8.901e-18 1.613e-17 3.96e-17 0.0 103.72 0.0
S096400 21.3009 106.2551 3.1860000000000003e-20 4.8340000000000005e-20 8.432e-20 0.0 103.07 0.0
S096401 21.4356 106.3344 2.053e-21 3.746e-21 9.793e-21 0.0 105.4 0.0
S096402 21.3161 106.2446 6.999e-14 4.603e-14 1.447e-14 0.0 103.68 0.0
S096403 21.3816 106.3167 7.599e-18 7.072e-18 4.397e-18 0.0 105.27 1.0
S096404 21.3194 106.298 2.542e-21 4.363e-21 9.764e-21 0.0 103.76 0.0
S096405 21.3461 106.2911 1.99e-24 7.177e-24 7.525e-23 0.0 104.88 0.0
S096406 21.3379 106.285 2.5230000000000002e-21 5.138e-21 1.535e-20 0.0 104.74 0.0
S096407 21.2745 106.3073 2.622e-22 5.516999999999999e-22 1.9110000000000002e-21 0.0 103.29 0.0
S096408 21.2845 106.2776 8.823000000000001e-20 1.175e-19 1.588e-19 0.0 102.84 0.0
S096409 21.3657 106.2651 2.994e-19 3.85e-19 4.591e-19 0.0 105.19 0.0
S096410 21.2845 106.292 5.083999999999999e-22 1.1310000000000001e-21 4.3100000000000004e-21 0.0 103.14 0.0
S096411 21.3438 106.2528 2.717e-17 2.334e-17 1.199e-17 0.0 104.73 0.0
S096412 21.3517 106.2758 7.353e-24 2.158e-23 1.421e-22 0.0 105.29 0.0
S096413 21.3477 106.2766 1.84e-17 1.622e-17 9.394e-18 0.0 105.15 0.0
S096414 21.3942 106.3115 7.866e-20 1.043e-19 1.352e-19 0.0 105.27 0.0
S096415 21.3319 106.2653 6.951e-17 5.728e-17 2.737e-17 0.0 104.25 0.0
S096416 21.3197 106.268 3.1910000000000005e-20 4.9290000000000006e-20 8.49e-20 0.0 103.41 0.0
S096417 21.3384 106.2704 5.006e-22 1.101e-21 3.985e-21 0.0 104.97 0.0
S096418 21.3003 106.2668 5.748e-17 9.01e-17 1.717e-16 0.0 103.02 0.0
S096419 21.2344 106.2722 5.2600000000000004e-21 9.715e-21 2.4520000000000002e-20 0.0 102.95 0.0
S096420 21.3054 106.3227 7.565e-21 1.3470000000000001e-20 3.236e-20 0.0 103.85 0.0
S096421 21.2911 106.25 9.465e-24 3.208e-23 2.822e-22 0.0 103.02 0.0
S096422 21.3276 106.2905 5.678e-23 1.4829999999999998e-22 7.809e-22 0.0 104.1 0.0
S096423 21.3389 106.2418 2.899e-23 8.612e-23 6.121999999999999e-22 0.0 104.45 0.0
S096424 21.3238 106.2544 6.071e-21 1.0980000000000001e-20 2.814e-20 0.0 103.82 0.0
S096425 21.3397 106.2768 8.583e-24 2.517e-23 1.7659999999999999e-22 0.0 104.95 0.0
S096426 21.3105 106.2726 5.138e-19 5.957e-19 5.775e-19 0.0 103.1 0.0
S096427 21.329 106.2655 7.881e-13 6.175e-13 2.81e-13 0.0 103.33 1.0
S096428 21.2863 106.2317 5.474e-18 9.926e-18 2.392e-17 0.0 103.43 0.0
S096429 21.3237 106.2642 1.067e-17 9.455e-18 5.437e-18 0.0 103.39 0.0
S096430 21.3355 106.2791 1.828e-23 4.829e-23 2.7199999999999996e-22 0.0 104.58 0.0
S096431 21.3562 106.2999 2.986e-23 9.147e-23 6.765999999999999e-22 0.0 105.01 0.0
S096432 21.3889 106.23 9.992999999999999e-22 2.098e-21 7.002000000000001e-21 0.0 105.09 0.0
S096433 21.3297 106.2704 4.053e-23 1.088e-22 6.231999999999999e-22 0.0 103.38 0.0
S096434 21.3783 106.2666 5.485e-18 5.291e-18 3.6e-18 0.0 105.34 0.0
S096435 21.3358 106.2649 5.017e-23 1.1569999999999999e-22 4.890999999999999e-22 0.0 105.08 0.0
S096436 21.4295 106.3055 2.067e-19 2.694e-19 3.358e-19 0.0 105.42 0.0
S096437 21.3268 106.2687 4.856e-22 9.990999999999999e-22 3.318e-21 0.0 103.42 0.0
S096438 21.3197 106.2852 8.117e-24 2.679e-23 2.2989999999999997e-22 0.0 103.7 0.0
S096439 21.3521 106.2724 4.797e-20 6.836000000000001e-20 1.06e-19 0.0 105.3 0.0
S096440 21.3361 106.2886 3.098e-21 5.9620000000000004e-21 1.5860000000000002e-20 0.0 104.44 0.0
S096441 21.3337 106.2527 5.409999999999999e-22 1.252e-21 5.061e-21 0.0 104.19 0.0
S096442 21.3333 106.299 2.086e-21 3.949e-21 1.0950000000000001e-20 0.0 104.33 0.0
S096443 21.3279 106.2699 4.2550000000000004e-20 6.045000000000001e-20 9.174000000000001e-20 0.0 103.65 0.0
S096444 21.3179 106.2862 1.968e-18 2.002e-18 1.499e-18 0.0 103.86 0.0
S096445 21.3342 106.2713 1.683e-21 3.246e-21 9.409e-21 0.0 104.66 0.0
