Face X Y Equat Polar NumGalax Distance(pc) Radius(pc) Mass(Mo)
Right 6.78 -14.87 278.57 108.09 1 28725 200 5779065
Front -19.73 11.29 156.33 77.06 5 9806 765 39325263
Front 41.19 17.96 222.47 73.59 6 28162 890 62747148
Left -18.92 11.35 67.20 76.91 27 26146 3118 430910633
Back 16.89 16.55 20.57 71.00 3 10147 500 24192946
Back 21.64 27.08 25.68 61.53 34 26538 3778 469029597
Top -7.49 -27.52 74.77 32.37 4 15614 635 32838554
Back -7.75 -24.64 350.23 118.35 3 23727 500 21161436
Left 27.40 -19.90 121.33 110.69 4 14702 635 35780638
Back 42.59 8.10 43.43 82.56 23 21968 2728 251482301
Front -11.62 6.33 165.52 82.24 7 197233 1012 1728194
Back -2.34 5.81 357.02 82.65 8 236836 1131 1999229
Back 27.10 5.36 31.06 84.17 3 294877 500 170188
Left -36.54 -10.99 50.93 100.73 5 248441 765 657750
Left -20.12 -12.61 65.91 104.35 1 368797 200 18405
Bottom 16.21 10.27 147.63 156.90 16 355134 2016 11269874
Front 6.51 -26.62 188.23 120.35 4 305381 635 377357
Left 42.91 -31.59 133.64 116.93 1 295917 200 21245
Right -21.47 -7.58 244.50 98.64 1 190672 200 19589
Front -36.97 -8.05 140.60 97.87 6 179280 890 959923
Front -31.71 -26.40 144.83 115.62 4 196743 635 419872
Bottom -29.16 41.81 55.11 131.44 18 286169 2224 16561180
Front 27.65 17.33 211.57 71.83 1 114162 200 19811
Back -21.49 6.27 334.48 82.84 12 346165 1586 5792400
Bottom -9.86 -9.88 314.94 162.76 2 305027 356 82981
Back -0.18 16.36 359.77 70.02 2 375973 356 112935
Bottom 12.61 10.73 139.60 159.80 5 251181 765 646140
Bottom -7.25 3.85 27.96 169.67 6 308619 890 1225885
Bottom -31.48 31.07 44.63 135.50 2 426273 356 95670
Right -21.89 -31.68 244.06 122.34 1 346441 200 19096
Left -6.00 16.53 82.41 70.00 9 257043 1248 2841613
Front 13.32 15.71 196.49 71.50 29 310536 3309 58471788
Right 28.56 -5.32 302.40 95.70 16 308960 2016 12431397
Front 13.45 -16.85 196.64 109.74 1 300261 200 21226
Front 16.66 -13.72 200.31 105.96 3 377291 500 207691
Front 37.35 30.35 219.69 62.57 1 251992 200 22591
Front 22.04 -30.48 206.09 121.31 16 183415 2016 11986930
Left -33.65 -6.06 53.22 96.16 6 206917 890 908408
Back 11.56 21.68 14.40 64.99 3 394010 500 231914
Front -7.23 -15.56 170.88 108.85 14 260636 1804 8124247
Back -17.81 2.73 338.41 86.78 1 379818 200 14710
Back -41.82 -1.93 317.10 91.80 4 299175 635 430300
Front -1.44 -7.92 178.17 99.98 3 324722 500 230469
Right -36.90 -4.61 230.65 94.52 1 234350 200 19547
Right 7.98 11.25 280.06 76.17 1 175123 200 20106
Left -34.11 -19.39 52.84 108.95 6 177515 890 961680
Right -8.52 0.83 259.27 88.96 15 355518 1910 10212547
Top 3.77 10.36 249.98 13.77 3 423555 500 227080
Right 30.20 40.81 303.86 53.02 18 356744 2224 16215850
Top 4.36 39.03 263.63 41.11 13 220455 1696 6491900
Bottom 13.75 16.90 129.13 154.17 5 326463 765 613056
Top -31.91 -6.52 11.54 35.90 17 198839 2120 13766382
Right 0.48 -41.24 270.61 132.50 4 233452 635 423404
Back 10.05 16.93 12.59 69.83 12 301536 1586 5596648
Right -20.90 -5.38 245.08 96.19 36 352606 3962 88727967
Top -6.32 -20.45 72.83 25.43 6 316909 890 1096377
Bottom 44.42 44.38 135.02 125.63 15 248937 1910 10301827
Left 24.95 -31.68 119.00 121.63 23 332414 2728 27513882
Back 13.77 -1.45 17.02 91.77 1 133976 200 21297
Front 31.55 -7.34 215.03 97.61 2 327537 356 102218
Left 8.97 -11.29 101.27 103.82 1 331800 200 16101
Right -0.42 15.77 269.47 70.68 23 358129 2728 28747636
Bottom 15.71 27.69 119.56 144.72 12 313081 1586 5802321
Right 38.15 0.17 310.29 89.84 5 372272 765 699982
Bottom -17.02 -41.38 292.36 135.17 2 304436 356 87359
Back 0.92 41.44 1.17 47.36 1 304516 200 15864
Back 13.38 -16.63 16.56 109.51 15 375691 1910 9594982
Bottom 10.65 -14.37 233.47 158.32 30 295671 3404 60078461
Back 20.56 3.78 24.55 85.63 9 261967 1248 3014900
Top -24.04 -4.67 11.00 28.56 15 235706 1910 11395542
Front -27.84 -42.54 148.26 128.80 4 367811 635 386172
Top 25.03 -6.28 165.92 29.84 4 161334 635 401520
Top 26.40 -20.78 141.80 36.74 1 347128 200 17133
Back 18.29 -18.12 22.12 110.45 6 250224 890 1101651
Bottom 19.63 34.99 119.29 138.28 11 289937 1475 4824890
Top 7.34 1.80 193.76 9.53 1 367353 200 18787
Right -16.93 42.39 249.38 48.60 14 256595 1804 8041774
Top 27.10 5.08 190.62 31.50 16 336709 2016 10873694
Left -15.24 -14.53 71.29 107.01 10 308451 1363 3754507
Front 32.54 -24.33 215.87 113.66 7 352307 1012 1640487
Back 21.94 -3.06 25.99 93.49 1 351125 200 19863
Right -41.50 4.63 227.32 85.67 5 320415 765 696527
Bottom 30.70 -2.98 185.55 145.57 3 301947 500 179261
Front 7.23 -20.30 189.13 114.01 1 295417 200 19530
Right 3.15 25.80 274.01 60.24 1 193399 200 18078
Back -30.32 31.78 326.03 59.64 5 378277 765 701508
Bottom -11.06 -20.02 298.92 153.05 32 362056 3592 63328069
Bottom -2.16 13.85 81.14 162.70 3 327008 500 217579
Front 20.68 42.44 204.68 49.41 1 358603 200 22770
Top -3.18 -43.21 85.80 43.91 25 341035 2924 35870673
Right -17.20 -3.35 249.08 93.97 9 292447 1248 2797930
Front 29.42 18.89 213.18 70.64 5 235934 765 657422
Back -23.95 -34.11 331.98 123.79 17 296552 2120 14022101
Back 3.79 24.41 4.82 61.60 3 364003 500 246782
Front 20.76 1.92 204.76 87.78 12 291160 1586 5882926
Back -3.96 -9.98 354.97 102.46 3 294130 500 233713
Right 40.60 -29.88 312.06 116.24 1 131300 200 18887
Top -10.80 25.34 293.09 31.48 14 305090 1804 7927382
Top 6.93 -2.05 163.56 9.13 7 336823 1012 1525417
Right -34.69 -39.86 232.37 125.05 15 2000 1910 181519264
