Face X Y Equat Polar Type Distance(pc) Radius(pc) NumStars Mass(Mo) BHMass(Mo)
Right 6.84 -14.55 278.64 107.73 S0 28781 87 1017 360552 174
Front -19.73 11.29 156.33 77.06 E4 9806 111 1026 786435 565
Front -16.75 12.65 159.58 75.24 SBb 10160 78 752 370863 292
Front -16.89 12.15 159.43 75.81 SBb 9435 75 989 391635 324
Front -21.07 12.03 154.91 76.39 SBb 9955 89 1141 540999 482
Front -17.66 11.03 158.57 77.14 SBc 10171 70 884 332673 306
Front 41.19 17.96 222.47 73.59 E3 28162 153 1202 1786294 666
Front 41.69 16.39 222.82 75.04 S0 28136 100 1063 516292 206
Front 41.24 17.99 222.50 73.57 SBb 28617 81 1008 445340 397
Front 43.01 18.87 223.70 73.13 SBc 28512 78 893 416192 372
Front 39.42 16.06 221.22 74.98 Sb 28044 77 888 403790 350
Front 40.34 18.93 221.87 72.61 Sc 27618 66 764 294477 216
Left -18.92 11.35 67.20 76.91 cD 26146 239 2332 6911928 1568
Left -14.83 7.11 71.76 81.46 SBa 26121 98 1260 661810 305
Left -20.92 9.66 65.07 78.99 SBb 24931 92 1020 512075 371
Left -21.21 6.61 64.77 82.43 E6 25223 83 940 433103 334
Left -15.37 13.43 71.14 74.22 SBa 25804 82 1001 460951 331
Left -22.12 7.39 63.82 81.62 Sc 26651 74 882 341174 230
Left -21.39 9.19 64.58 79.55 SBc 27121 72 971 350274 328
Left -13.79 11.84 72.97 75.88 SBc 25030 77 840 351639 258
Left -24.43 11.07 61.50 77.80 Sc 27609 68 792 291538 249
Left -19.25 7.97 66.84 80.75 SBa 25749 76 1020 454021 349
Left -17.32 6.82 68.95 81.95 Sb 27224 66 677 279739 179
Left -17.87 10.15 68.34 78.16 SBa 27359 92 1260 682152 534
Left -22.83 11.16 63.10 77.53 SBa 27749 97 1100 605468 319
Left -18.35 6.52 67.81 82.36 Sc 26202 76 830 372508 253
Left -14.28 10.82 72.40 77.09 SBa 26099 111 1103 795613 418
Left -24.21 13.44 61.72 75.27 SBa 26165 90 1027 531187 369
Left -18.66 14.22 67.48 73.73 SBa 23307 97 1144 638504 419
Left -18.62 8.74 67.52 79.83 E3 25819 129 1302 1255866 591
Left -20.10 6.09 65.93 82.96 SBb 26223 90 1116 553199 372
Left -19.85 7.64 66.20 81.17 E4 25475 126 1113 1043826 421
Left -17.06 9.71 69.24 78.59 SBa 28446 87 1209 590204 461
Left -20.51 11.28 65.50 77.15 E1 26471 208 1631 4372597 838
Left -18.35 7.33 67.82 81.43 SBc 26151 80 874 377899 230
Left -15.18 11.67 71.36 76.19 SBc 26101 79 836 367669 238
Left -22.38 16.37 63.56 71.96 SBc 26891 82 916 428992 284
Left -14.76 13.37 71.84 74.24 Sc 25560 72 831 304292 213
Left -19.38 10.54 66.70 77.86 Sb 28889 81 873 434642 332
Back 15.57 15.72 19.09 71.73 SBa 10499 99 1287 657520 488
Back 18.58 17.64 22.43 70.08 Sa 9953 65 1138 389518 355
Back 17.91 16.39 21.70 71.30 SBb 10138 79 1087 455644 342
Back 21.64 27.08 25.68 61.53 cD 26538 249 2003 7339548 960
Back 16.86 19.50 20.54 67.92 Sb 26394 81 904 441400 262
Back 29.53 28.33 33.28 62.24 S0 28243 86 1069 380007 174
Back 24.11 21.67 28.18 67.00 SBa 27295 100 1020 607179 368
Back 27.73 30.25 31.65 60.22 Sa 25594 80 1107 496178 393
Back 22.89 27.41 26.96 61.50 E5 23423 96 1053 546535 471
Back 28.33 23.67 32.19 66.00 SBc 27485 76 865 362390 296
Back 15.69 29.56 19.22 58.19 SBb 24062 88 965 603973 352
Back 20.66 32.97 24.66 56.34 E4 26695 114 1138 841449 489
Back 22.45 31.54 26.51 57.91 SBc 24329 75 942 375988 278
Back 18.65 22.59 22.51 65.12 SBb 28460 87 1081 514358 339
Back 27.86 22.42 31.77 67.04 SBc 26149 72 898 350387 276
Back 16.95 27.33 20.64 60.39 E4 25240 114 1168 837215 491
Back 24.72 34.29 28.78 56.27 SBc 23613 83 862 386138 287
Back 29.19 26.12 32.97 64.04 Sb 26618 73 820 324338 240
Back 26.13 25.49 30.14 63.90 SBb 26230 88 920 431569 309
Back 18.32 23.72 22.16 63.97 SBb 27676 84 1087 507064 360
Back 21.94 26.53 26.00 62.08 SBc 28969 82 899 358888 319
Back 15.84 22.08 19.39 65.16 SBc 27524 76 923 403381 266
Back 26.30 22.38 30.31 66.76 SBa 24516 81 868 435603 304
Back 26.14 32.84 30.15 57.74 E5 28443 89 1003 472496 471
