Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG2401 37.2993 46.6105 1.186e-16 1.094e-16 4.83e-17 82.7744 1453.05
DG2402 37.3105 46.6839 1.82e-16 1.339e-16 5.843e-17 53.3604 1452.84
DG2403 37.1399 46.6196 2.024e-16 1.586e-16 7.275e-17 57.6892 1452.82
DG2404 37.2533 46.6605 1.652e-16 1.423e-16 6.348e-17 44.5332 1453.08
DG2405 37.1572 46.6784 1.75e-16 1.524e-16 6.203e-17 47.4465 1452.62
DG5164 42.0713 50.1353 1.514e-16 1.254e-16 5.698e-17 94.8418 1470.82
DG5165 42.0359 50.0385 2.068e-16 1.734e-16 8.032e-17 44.0896 1470.99
DG5166 42.278 50.0506 1.0790000000000002e-25 2.651e-27 1.25e-32 49.334 1471.72
DG5167 41.9541 50.0521 1.747e-16 1.734e-16 5.747e-17 56.0045 1471.1
DG5168 41.9701 50.1506 2.024e-16 1.644e-16 7.588e-17 48.9327 1471.02
DG5169 42.1636 50.2289 1.722e-16 1.517e-16 6.256e-17 54.9195 1471.7
