Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0416 0.2603 121.7017 6.464e-16 5.344e-16 2.427e-16 85.3172 788.2
DG3544 37.3536 142.2497 1.612e-15 1.111e-15 3.975e-16 247.3255 806.6
DG3545 36.5534 142.2837 5.878000000000001e-26 1.479e-27 7.163e-33 117.261 807.14
DG3546 37.3094 142.1618 5.466e-26 1.424e-27 6.575e-33 114.662 805.73
DG3547 37.6302 142.5901 5.569e-16 4.889e-16 2.2e-16 100.0365 804.56
DG3548 37.7204 142.6712 5.399e-16 4.738e-16 1.853e-16 96.9432 806.46
DG3549 37.3409 142.5788 7.969e-16 6.579e-16 2.463e-16 96.9659 805.89
DG3550 37.1468 142.362 5.553e-16 3.884e-16 1.985e-16 74.3133 804.55
DG3551 36.8527 141.9017 5.613e-26 1.423e-27 7.111e-33 117.4279 804.38
DG3552 36.7532 142.4434 4.841e-16 4.619e-16 1.965e-16 86.5995 806.42
DG3553 37.2441 142.3518 5.406e-26 1.462e-27 6.612e-33 115.78 805.1
DG3554 37.3734 142.5847 3.816e-16 2.996e-16 1.301e-16 144.1922 805.82
DG3555 37.31 142.4879 6.46e-16 4.917e-16 2.194e-16 93.9798 806.4
DG3556 37.3185 142.4421 5.503e-16 4.471e-16 2.036e-16 92.7786 804.68
