Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG3628 28.5285 80.4772 2.165e-14 1.614e-14 5.766e-15 1443.832 160.5
DG3629 29.2583 79.9545 8.95e-15 7.191e-15 2.661e-15 377.4565 158.72
DG3630 28.399 79.6384 8.492e-15 6.918e-15 3.233e-15 369.3694 162.0
DG3631 27.1931 79.3094 7.98e-15 5.912e-15 2.98e-15 376.647 162.05
DG3632 27.453 79.8054 7.09e-15 6.267e-15 2.903e-15 346.8516 163.02
DG3633 29.9194 80.8936 7.73e-15 5.965e-15 2.966e-15 385.6129 159.93
DG3634 27.8306 79.3709 8.828e-15 7.102e-15 3.079e-15 397.4157 158.25
DG3635 28.1118 80.8934 1.119e-14 7.979e-15 3.566e-15 348.7745 158.06
DG3636 28.8791 80.563 8.939e-15 6.913e-15 3.23e-15 406.265 157.8
DG3637 27.2125 80.3936 8.614e-15 6.897e-15 3.039e-15 439.0928 158.01
DG3638 27.9611 79.1823 7.954e-15 6.793e-15 3.007e-15 356.1303 159.94
DG3639 27.9576 81.3964 7.186e-15 6.922e-15 2.447e-15 360.4641 161.11
