Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0220 280.5823 57.8189 1.295e-16 1.143e-16 4.995e-17 65.7563 1515.11
DG4896 290.1452 62.3279 5.009e-16 3.838e-16 1.377e-16 121.0788 1507.12
DG4897 290.2371 62.2658 2.005e-16 1.58e-16 7.687e-17 58.5058 1508.18
DG4898 289.9765 62.5096 1.253e-16 1.017e-16 4.495e-17 63.4764 1508.0
DG4899 289.871 62.3574 1.962e-16 1.513e-16 7.854e-17 54.8503 1504.69
DG4900 290.3219 62.1613 1.689e-16 1.34e-16 6.373e-17 52.6102 1505.06
DG4901 290.1489 62.1243 1.788e-16 1.602e-16 6.264e-17 45.2518 1506.51
DG4902 290.2098 62.3216 1.003e-25 2.572e-27 1.355e-32 73.0373 1508.43
DG4903 290.2251 62.171 1.816e-16 1.553e-16 8.299e-17 58.1604 1505.14
DG4904 290.1267 62.3511 1.0300000000000001e-25 2.758e-27 1.266e-32 58.8279 1506.34
DG4905 290.244 62.1796 1.647e-16 1.506e-16 6.243e-17 53.1138 1508.34
DG4906 290.169 62.404 1.841e-16 1.668e-16 7.185e-17 58.1658 1508.41
