Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG3118 301.3759 118.8367 4.777e-15 3.431e-15 1.134e-15 519.9923 459.6
DG3119 304.5195 120.8648 6.134e-26 1.614e-27 7.972e-33 216.6591 456.44
DG3120 304.8905 119.4055 1.707e-15 1.349e-15 6.852e-16 166.9322 458.43
DG3121 298.8547 121.7399 5.983e-26 1.628e-27 7.868999999999999e-33 149.2282 464.89
DG3122 304.4327 118.8221 1.727e-15 1.448e-15 6.68e-16 198.4289 457.1
DG3123 301.298 120.5375 1.691e-15 1.547e-15 6.373e-16 192.1746 466.21
DG3124 304.2548 119.9194 6.683000000000001e-26 1.723e-27 8.203e-33 166.0913 467.06
DG3125 305.7818 118.1133 1.569e-15 1.307e-15 6.053e-16 180.8701 465.02
DG3126 301.8336 121.7493 1.215e-15 9.198e-16 4.305e-16 286.3199 460.97
DG3127 302.5071 118.5924 1.493e-15 1.041e-15 5.217e-16 321.7773 459.03
DG3128 304.1051 122.4254 1.56e-15 1.362e-15 5.66e-16 160.3997 457.07
DG3129 304.1388 119.2463 1.383e-15 1.052e-15 4.812e-16 288.222 462.38
DG3130 302.4849 118.6815 1.147e-15 9.127e-16 3.946e-16 230.8946 456.63
DG3131 298.8858 121.1542 1.369e-15 1.077e-15 5.122e-16 218.3121 455.08
DG3132 302.0261 117.5718 1.049e-15 8.268e-16 3.596e-16 169.7638 459.65
DG3133 301.1115 116.2277 1.399e-15 1.231e-15 5.2e-16 153.2916 470.04
DG3134 299.807 117.7691 1.121e-15 9.501e-16 3.828e-16 351.8102 463.88
DG3135 300.8515 119.2146 1.219e-15 9.241e-16 4.112e-16 365.9118 462.79
DG3136 302.2844 116.3491 2.622e-15 1.916e-15 8.775e-16 194.5396 467.0
DG3137 303.8325 121.7561 1.449e-15 1.078e-15 4.514e-16 227.9824 454.26
DG3138 302.169 121.6538 2.076e-15 1.742e-15 7.259e-16 163.6514 475.15
DG3139 302.5534 118.4395 1.113e-15 9.014e-16 3.893e-16 371.3086 465.11
DG3140 302.8959 120.8235 1.838e-15 1.377e-15 6.388e-16 181.2981 470.92
DG3141 303.0232 117.8263 1.785e-15 1.387e-15 6e-16 181.5019 462.95
DG3142 300.6856 118.3118 1.268e-15 9.258e-16 3.921e-16 450.86 470.12
DG3143 300.0499 116.5146 1.078e-15 8.692e-16 4.076e-16 252.4453 466.34
DG3144 296.3891 119.4819 1.559e-15 1.226e-15 5.106e-16 160.5179 457.15
DG3145 302.9299 118.3913 2.016e-15 1.732e-15 7.137e-16 230.5832 457.55
DG3146 300.9873 122.1845 1.169e-15 8.474e-16 4.08e-16 237.7543 453.61
DG3147 300.7461 119.2484 2.263e-15 1.914e-15 7.983e-16 187.5782 466.64
DG3148 297.8998 115.9976 6.705e-26 1.8069999999999998e-27 7.829e-33 219.9415 455.9
DG3149 302.6595 120.3645 1.376e-15 1.096e-15 5.368e-16 320.5483 461.46
DG3150 302.8758 118.1282 1.16e-15 1.013e-15 3.735e-16 339.7238 459.15
DG3151 301.8898 116.9094 1.46e-15 1.129e-15 4.717e-16 338.268 464.6
DG3152 300.5871 119.1793 1.266e-15 1.025e-15 4.688e-16 388.1083 456.56
DG3153 301.1437 120.6604 7.335000000000001e-26 1.789e-27 8.373999999999999e-33 181.6551 466.84
DG3154 301.1585 119.7746 1.154e-15 9.341e-16 4.356e-16 378.8404 455.78
DG3155 299.124 118.8817 1.38e-15 1.006e-15 4.479e-16 271.8121 454.56
DG3156 298.3285 118.245 6.413e-26 1.674e-27 7.615e-33 203.3793 469.13
DG3157 299.2149 122.2675 1.537e-15 1.399e-15 6.223e-16 179.7761 454.79
DG3158 298.4188 120.7631 1.824e-15 1.408e-15 6.234e-16 180.9156 468.9
DG3159 300.4304 117.4759 1.525e-15 1.159e-15 5.566e-16 149.2632 476.73
DG3160 300.5375 115.9763 1.705e-15 1.266e-15 5.401e-16 167.6777 456.03
DG3161 301.3345 119.6351 1.642e-15 1.4e-15 6.694e-16 183.7759 456.01
DG3162 304.0582 118.7196 1.665e-15 1.44e-15 6.791e-16 171.2655 468.18
DG3163 301.5879 116.0454 1.5e-15 1.243e-15 5.638e-16 144.7795 459.56
DG3164 298.2906 116.4053 1.948e-15 1.426e-15 6.681e-16 192.4725 462.35
DG3165 300.7268 118.8319 1.342e-15 1.226e-15 5.248e-16 316.1806 462.83
DG3166 300.4551 118.1204 1.233e-15 1.077e-15 4.752e-16 277.1744 473.84
DG3167 299.5274 116.5266 1.621e-15 1.366e-15 5.413e-16 143.5704 472.52
DG3168 298.9244 120.0469 1.591e-15 1.308e-15 5.905e-16 197.9658 461.2
DG3169 300.34 117.5195 2.256e-15 1.844e-15 6.494e-16 194.0419 467.82
DG3170 300.7371 114.6936 1.548e-15 1.316e-15 5.54e-16 168.2574 458.99
DG3171 304.6885 116.589 1.998e-15 1.628e-15 6.894e-16 180.8247 460.85
DG3172 298.8184 115.882 6.921e-26 1.769e-27 7.782999999999999e-33 221.9032 472.36
DG3173 298.6647 117.1306 1.104e-15 1.122e-15 4.253e-16 276.3068 460.87
DG3174 302.357 117.359 1.365e-15 1.075e-15 4.87e-16 277.0128 467.76
DG3175 297.4271 118.0887 1.623e-15 1.284e-15 5.631e-16 113.7839 455.4
DG3176 297.828 118.7447 1.452e-15 1.147e-15 5.291e-16 163.2283 461.86
DG3177 301.1757 119.6542 7.167e-26 1.6079999999999999e-27 8.373e-33 268.2532 463.26
DG3178 301.6598 120.5984 1.927e-15 1.47e-15 6.223e-16 182.1497 462.21
DG3179 300.1766 114.9695 1.728e-15 1.474e-15 7.004e-16 197.9712 456.88
DG3180 303.649 121.1337 1.787e-15 1.411e-15 6.258e-16 176.0969 470.4
DG3181 301.6355 122.175 1.346e-15 9.876e-16 5.057e-16 243.7841 469.18
DG3182 304.7895 116.8535 6.454000000000001e-26 1.653e-27 8.068e-33 161.8552 463.19
DG3183 300.9332 117.6803 1.458e-15 1.108e-15 4.884e-16 213.2756 467.88
DG3184 300.9854 120.3042 1.069e-15 8.868e-16 3.707e-16 337.0701 458.34
DG3185 303.1148 120.2628 1.199e-15 1.096e-15 4.886e-16 241.4748 475.85
DG3186 304.7059 118.422 1.826e-15 1.498e-15 6.956e-16 155.5319 468.35
DG3187 303.2663 118.3687 1.964e-15 1.753e-15 7.073e-16 195.7766 460.45
DG3188 298.4066 118.5409 1.678e-15 1.248e-15 6.127e-16 164.2939 457.24
DG3189 297.0791 120.6376 1.78e-15 1.543e-15 6.98e-16 180.0087 460.97
DG3190 303.9157 115.9767 1.668e-15 1.389e-15 5.859e-16 158.9686 475.43
