Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG1299 3.082 117.3706 3.929e-16 2.939e-16 1.022e-16 85.4937 1815.22
DG1300 3.0849 117.5015 1.55e-16 1.248e-16 6.319e-17 49.9127 1814.11
DG1301 2.9601 117.4409 1.393e-16 1.137e-16 4.645e-17 45.4272 1813.55
DG1302 2.9847 117.2955 1.56e-16 1.117e-16 6.016e-17 50.1828 1816.11
DG1303 2.8964 117.2968 1.6520000000000001e-25 4.1629999999999996e-27 1.835e-32 50.3327 1814.78
DG1304 3.0869 117.4911 1.827e-16 1.611e-16 6.054e-17 37.5728 1816.13
DG1305 3.2042 117.2782 9.761e-17 8.355e-17 3.797e-17 48.4827 1813.59
DG1306 2.9614 117.3336 1.325e-16 1.038e-16 4.914e-17 43.2782 1817.51
DG1307 3.1105 117.483 1.981e-16 1.572e-16 7.199e-17 39.3204 1814.73
DG1308 2.9947 117.3193 2.077e-16 1.558e-16 7.254e-17 44.1227 1813.59
