Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG2952 329.4624 45.556 2.467e-15 1.975e-15 6.522e-16 245.9754 569.72
DG2953 327.9127 46.2798 9.448e-16 8.043e-16 3.703e-16 169.7128 567.07
DG2954 330.0018 44.9549 5.362e-16 5.416e-16 2.026e-16 173.7248 567.76
DG2955 328.3079 46.1198 9.182e-16 7.54e-16 2.972e-16 125.3 564.07
DG2956 329.9081 44.3938 6.328e-16 5.345e-16 2.316e-16 141.7116 568.28
DG2957 328.939 45.4871 8.384e-16 7.495e-16 3.117e-16 126.3418 567.21
DG2958 328.7089 44.8285 5.587e-26 1.4129999999999999e-27 6.865e-33 135.3668 568.49
DG2959 329.0411 46.404 8.634e-16 7.466e-16 3.225e-16 127.4363 568.46
DG2960 330.442 44.7579 9.376e-16 7.182e-16 3.324e-16 110.193 567.07
DG2961 329.8778 45.1381 7.487e-16 5.981e-16 2.57e-16 237.5623 568.24
DG2962 329.2382 46.5542 6.724e-16 5.259e-16 2.385e-16 178.2728 567.81
DG2963 329.2656 45.7094 7.183e-16 6.318e-16 2.422e-16 209.3721 568.16
DG2964 329.0667 45.5082 9.659e-16 7.346e-16 3.07e-16 111.7845 564.93
DG2965 328.8863 44.8505 1.025e-15 8.121e-16 3.87e-16 122.3778 568.07
DG2966 330.9699 45.7457 6.294e-16 5.905e-16 2.19e-16 153.2295 565.46
DG2967 329.4 45.0628 6.338e-16 4.896e-16 1.982e-16 176.8729 569.12
DG2968 328.6715 46.1616 9.245e-16 7.3e-16 3.101e-16 126.6275 568.65
DG2969 329.7474 45.9772 7.538e-16 6.096e-16 2.604e-16 244.5712 564.03
DG2970 328.8059 44.6718 9.198e-16 7.369e-16 3.181e-16 111.1135 566.97
DG2971 329.584 46.391 1.012e-15 8.408e-16 3.932e-16 120.3156 569.77
DG2972 328.9663 45.8879 9.723e-16 7.102e-16 2.939e-16 132.4587 563.27
DG2973 329.6341 45.443 5.848000000000001e-26 1.366e-27 6.608e-33 139.8923 562.96
DG2974 329.0866 46.2075 6.715e-16 5.449e-16 2.884e-16 214.1977 565.18
DG2975 329.0961 45.6365 6.882e-16 5.667e-16 2.567e-16 218.2973 568.92
