Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG2632 87.949 68.9249 1.724e-14 1.317e-14 4.508e-15 644.3965 239.67
DG2633 88.0326 69.9381 6.102e-15 4.973e-15 2.266e-15 367.661 241.35
DG2634 88.9833 68.1822 5.964e-15 4.961e-15 2.043e-15 306.2842 242.5
DG2635 88.523 68.2732 6.97e-15 5.771e-15 2.641e-15 351.4943 242.04
DG2636 87.2082 70.2629 1.5750000000000001e-25 3.916e-27 1.629e-32 350.0189 241.82
DG2637 87.2877 68.9201 9.077e-15 7.333e-15 3.009e-15 343.2556 240.49
DG2638 87.9307 67.8175 1.3e-25 3.5959999999999996e-27 1.748e-32 406.5318 241.98
DG2639 87.5817 67.8655 5.822e-15 4.573e-15 2.227e-15 330.7524 242.51
DG2640 88.8132 68.9228 1.3360000000000001e-25 3.422e-27 1.785e-32 449.9399 242.4
DG2641 89.0845 67.682 1.338e-25 3.507e-27 1.574e-32 451.6641 243.07
