Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG3722 298.0435 70.1751 1.93e-14 1.713e-14 5.562e-15 1077.2627 197.81
DG3723 298.431 73.5758 1.8080000000000002e-25 4.373e-27 2.083e-32 425.8783 200.52
DG3724 297.3962 67.2186 5.515e-15 3.932e-15 1.957e-15 329.7355 192.97
DG3725 296.9808 72.1914 8.057e-15 6.273e-15 2.905e-15 366.537 195.97
DG3726 298.8868 72.3104 6.928e-15 5.534e-15 2.217e-15 754.2966 192.39
DG3727 294.0249 70.9659 1.594e-25 4.728e-27 2.014e-32 409.0657 199.13
DG3728 297.3053 67.9973 6.926e-15 5.001e-15 2.36e-15 802.2016 190.92
DG3729 298.805 71.1215 6.421e-15 5.608e-15 2.4e-15 478.2796 198.8
DG3730 295.2101 70.5791 1.5670000000000002e-25 4.16e-27 1.996e-32 485.5092 197.71
DG3731 299.7856 67.3349 7.801e-15 5.994e-15 2.778e-15 297.0843 195.42
DG3732 299.469 71.4525 7.983e-15 6.327e-15 2.75e-15 381.4373 193.82
DG3733 295.2577 67.6056 8.319e-15 7.417e-15 2.883e-15 385.8364 199.95
DG3734 298.4956 69.121 7.055e-15 5.841e-15 2.296e-15 811.5078 196.91
DG3735 301.1672 71.7627 7.825e-15 5.884e-15 2.572e-15 334.6533 197.01
DG3736 296.5281 70.7364 5.913e-15 4.787e-15 2.279e-15 671.522 194.92
DG3737 296.5165 67.9779 1.8030000000000002e-25 4.802e-27 2.107e-32 471.1361 191.91
DG3738 301.8583 70.2605 8.163e-15 6.37e-15 2.662e-15 410.3593 193.89
DG3739 298.9167 70.7921 1.543e-25 4.121e-27 1.742e-32 392.7521 194.21
DG3740 300.244 66.8544 8.168e-15 6.161e-15 2.995e-15 387.9318 191.35
DG3741 294.681 68.0483 7.487e-15 6.106e-15 2.678e-15 374.7807 191.85
DG3742 300.6515 70.5371 9.211e-15 7.486e-15 3.072e-15 382.3063 194.37
DG3743 296.2089 69.0921 9.835e-15 7.182e-15 3.907e-15 432.9602 194.04
DG3744 300.6643 69.1965 5.83e-15 4.685e-15 2.031e-15 602.5347 191.98
DG3745 301.7359 72.6606 1.554e-25 3.998e-27 2.032e-32 461.8238 198.42
DG3746 296.7754 70.9943 7.308e-15 5.764e-15 2.811e-15 378.5033 199.35
DG3747 299.0339 67.0413 1.45e-25 4.26e-27 1.755e-32 506.489 200.04
DG3748 298.7384 72.7158 7.491e-15 5.825e-15 2.782e-15 388.9729 199.3
