Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG4209 36.2773 47.9753 7.962e-15 5.945e-15 1.965e-15 913.4525 345.32
DG4210 37.1536 47.7018 3.261e-15 2.616e-15 1.146e-15 220.3104 344.76
DG4211 36.7901 47.8911 1.908e-15 1.591e-15 7.478e-16 260.5137 347.44
DG4212 36.334 48.5925 3.007e-15 2.316e-15 1.017e-15 249.6407 348.1
DG4213 37.0987 48.2577 4.108e-15 3.004e-15 1.221e-15 265.6668 344.86
DG4214 36.7559 47.5556 4.367e-15 3.377e-15 1.219e-15 229.3626 345.29
DG4215 37.324 47.2178 2.565e-15 2.49e-15 9.278e-16 245.9458 344.87
DG4216 36.7174 47.89 2.816e-15 2.335e-15 1.049e-15 219.6395 346.55
DG4217 35.8549 48.0744 2.105e-15 1.578e-15 6.894e-16 538.096 344.02
DG4218 36.3687 47.3071 3.521e-15 2.634e-15 1.189e-15 230.924 343.72
DG4219 34.925 48.2943 3.177e-15 2.687e-15 1.269e-15 271.9391 347.59
