Face X Y Equat Polar Type Distance(pc) Radius(pc) NumStars Mass(Mo) BHMass(Mo)
Top -6.88 -42.42 80.79 43.68 Sa 25646 82 1064 447546 325
Top -7.04 -43.65 80.83 44.49 Sc 25682 72 654 282393 204
Top -6.48 -42.51 81.34 43.70 S0 25734 89 1165 484730 260
Bottom -21.55 6.46 16.69 153.44 E2 19825 163 1390 2134480 611
Bottom -23.70 8.19 19.07 150.87 SBa 19963 92 1124 622198 381
Bottom -23.13 6.55 15.82 151.89 Sc 20085 68 788 297965 212
Bottom -23.18 6.03 14.59 151.98 S0 20340 83 1070 363512 229
Bottom -19.25 4.39 12.86 156.31 SBb 19381 81 988 442287 421
Bottom -20.40 5.03 13.84 154.97 Sc 20237 63 839 290233 236
Bottom -23.45 5.85 14.00 151.76 Sa 20241 87 1126 508442 364
Right 9.78 14.95 282.26 72.01 cD 25595 239 2155 6708445 1394
Right 11.45 15.05 284.28 72.04 E4 24758 126 1164 1179743 451
Right 6.56 16.43 278.30 70.13 SBc 26500 78 874 340699 272
Right 7.69 13.99 279.69 72.96 SBc 25068 66 1005 343819 331
Right 10.07 17.98 282.62 68.70 Sa 26623 82 1051 479384 328
Right 8.34 13.34 280.50 73.75 Sc 25036 59 787 274279 238
Right 8.80 15.80 281.07 70.98 SBc 24699 67 810 309385 276
Right 8.61 12.79 280.84 74.41 Sa 24592 70 960 383832 240
Right 9.26 17.27 281.62 69.40 S0 26293 89 1041 429894 247
Right 7.14 14.61 279.01 72.23 SBb 23991 88 1022 518802 377
Right 10.32 18.84 282.92 67.81 SBa 26239 103 1048 650557 462
Right 10.24 11.50 282.82 76.01 Sa 25764 76 1057 465724 399
Right 10.05 16.67 282.59 70.12 SBa 24528 89 1140 602700 430
Right 12.18 14.91 285.15 72.27 SBa 24925 98 1149 624268 471
Right 9.97 14.47 282.50 72.57 SBa 27007 90 1029 522577 369
Right 12.08 12.44 285.02 75.05 SBa 25810 79 937 419524 331
Bottom -31.45 8.25 14.70 144.15 E3 28113 150 1325 1823400 548
Bottom -32.58 9.34 16.00 143.01 SBa 28493 100 1256 777283 448
Bottom -30.66 9.17 16.65 144.58 S0 27931 100 1075 556834 190
Bottom -30.15 8.90 16.45 145.06 S0 28089 81 1075 354492 209
Bottom -31.14 7.25 13.11 144.61 SBb 27431 86 1063 541200 401
Bottom -30.81 8.35 15.16 144.65 SBa 27499 113 1133 810169 436
Front 10.02 0.94 192.55 88.83 S0 27688 103 1115 463958 167
Front -14.82 -23.79 161.77 116.66 S0 16246 101 1040 505333 192
Left 19.72 -3.89 113.66 94.52 S0 15581 88 1068 472768 184
Bottom 1.95 -5.10 249.05 173.08 cD 28771 152 1915 2047737 1087
Bottom 3.16 -3.36 226.73 174.14 SBa 28552 80 1040 411767 378
Bottom 2.11 -5.10 247.57 173.01 SBb 28857 89 1180 547436 347
Bottom 1.92 -3.90 243.83 174.48 SBc 28620 66 880 305398 305
Bottom 2.13 -5.88 250.08 172.09 Sc 28598 62 888 306105 258
Bottom 0.84 -3.71 257.18 175.17 SBc 28290 65 1006 346606 243
Bottom 2.82 -4.03 234.96 173.76 SBb 28425 70 855 394116 321
Bottom 3.10 -3.36 227.35 174.20 SBa 28280 92 1053 569591 437
Bottom 0.81 -4.89 260.60 173.72 SBa 29509 79 1159 507543 394
Bottom 0.79 -4.81 260.64 173.82 SBc 29143 76 993 380664 323
Left -1.81 9.34 87.70 78.28 Sc 20527 70 827 294919 229
Left -3.22 9.64 85.91 77.94 SBc 20850 76 827 360834 261
Left -2.02 8.80 87.43 78.94 Sa 20447 84 962 460525 369
Left -1.88 8.76 87.61 79.00 SBa 20538 89 1083 551293 391
Top 20.49 13.92 214.18 28.83 cD 11594 211 2256 4840157 1100
Top 27.03 12.49 204.79 33.49 SBa 11454 92 1230 657514 488
Top 14.10 13.04 222.77 23.12 SBb 10725 90 940 492620 330
Top 22.95 19.14 219.83 33.58 E5 10549 88 982 462337 374
Top 16.73 11.06 213.46 24.02 E3 11908 136 1225 1348051 473
Top 23.16 13.88 210.93 30.97 E2 12027 156 1319 2002076 493
Top 17.84 16.56 222.87 28.42 SBb 13122 87 1001 520094 401
Top 12.89 15.93 231.01 24.48 Sb 12158 81 966 413834 337
Top 26.33 14.74 209.24 33.84 SBa 12724 78 1147 519478 444
Top 18.94 15.02 218.42 28.24 E2 11106 147 1444 1732572 774
Top 26.25 15.64 210.79 34.18 SBb 10789 88 856 420390 315
Top 19.98 13.45 213.93 28.16 Sa 10955 77 950 390627 309
Top 30.20 11.82 201.37 35.78 SBc 11416 68 960 318479 270
Top 18.78 10.40 208.98 25.50 SBa 13300 91 1164 617182 500
Top 20.19 21.79 227.19 33.43 SBa 10422 93 967 528911 349
Top 24.21 17.57 215.98 33.61 SBa 10013 79 1024 429668 360
Right -10.94 -21.44 256.33 114.85 cD 2000 337 2223 19245651 902
Right 14.86 -11.10 288.27 103.18 SBa 2894 117 1202 976487 588
Right -1.33 -37.04 268.31 129.45 SBc 2935 78 844 330711 225
Bottom 32.05 -23.32 216.04 138.63 Sa 1851 90 1095 534091 406
Front 32.22 -25.43 215.60 114.68 SBb 2503 79 995 439951 407
Right -38.73 -22.73 229.28 110.95 Sc 1657 69 860 353935 321
Right 21.29 -16.22 295.32 108.05 E4 1826 128 1103 1182091 404
Right -4.34 -13.13 264.49 106.19 SBb 3014 79 952 424614 403
Right 23.51 3.50 297.58 86.06 SBa 2513 99 1022 601612 366
Right -5.88 -25.82 262.55 119.64 Sc 2782 64 883 285974 230
Right 8.85 -24.04 281.13 117.66 Sc 3312 82 935 421903 234
Bottom 18.95 -27.55 235.48 143.39 SBa 2284 63 931 350612 365
Front 11.37 -14.30 194.18 107.13 Sb 2105 72 784 318402 283
Right 25.87 -8.44 299.89 99.24 SBa 1931 89 1032 572282 337
Front -0.00 -0.00 180.00 90.00 Sa 47 75 994 408831 289
