Face X Y Equat Polar NumGalax Distance(pc) Radius(pc) Mass(Mo)
Top -6.12 -43.13 81.92 44.07 3 25847 500 19580850
Bottom -21.55 6.46 16.69 153.44 7 19825 1012 76153949
Right 9.78 14.95 282.26 72.01 16 25595 2016 239326080
Bottom -31.45 8.25 14.70 144.15 6 28113 890 78701976
Front 9.90 0.87 192.41 88.91 1 27807 200 7430849
Front -14.61 -23.98 162.02 116.88 1 16086 200 8095057
Left 19.37 -3.94 113.29 94.60 1 15716 200 7573357
Bottom 1.95 -5.10 249.05 173.08 10 28771 1363 96495150
Left -1.62 9.49 87.94 78.10 4 20803 635 27062617
Top 20.49 13.92 214.18 28.83 16 11594 2016 261635823
Top -36.63 14.32 338.65 41.15 7 342959 1012 1566366
Right 23.05 -36.29 297.12 125.67 1 338402 200 18368
Front -20.03 -31.22 156.00 122.37 4 230907 635 428852
Left -26.33 43.52 59.67 50.15 18 405330 2224 16972939
Left 13.77 -9.17 107.01 101.03 1 346185 200 17764
Left 12.95 35.57 106.06 52.78 19 257650 2326 19438618
Bottom 1.56 -7.84 258.73 169.93 4 237298 635 443408
Back -35.70 -6.85 321.58 96.80 3 444761 500 185834
Front -12.21 -31.49 164.82 124.03 7 273079 1012 1466638
Right 20.49 12.50 294.48 75.81 23 200947 2728 29026872
Bottom -32.84 -39.79 309.53 131.09 9 190257 1248 2940870
Left 29.84 8.34 123.55 81.22 4 261316 635 436989
Front 25.25 26.09 209.30 63.17 5 162318 765 727651
Left 33.35 -38.90 126.54 124.78 3 275933 500 195666
Top -1.59 -32.82 87.22 36.14 30 97337 3404 56716437
Top 7.14 -43.93 99.23 44.68 1 276917 200 13764
Front 4.76 27.51 186.04 58.70 7 373279 1012 1751789
Top -20.85 -5.46 14.67 25.59 19 86046 2326 18884340
Front 18.74 -31.12 202.61 122.56 8 347388 1131 2332432
Left -20.95 11.41 65.03 77.06 19 380117 2326 16766683
Back 25.88 -13.23 29.91 104.30 3 151503 500 207427
Front -16.67 8.97 159.67 79.42 2 340568 356 80086
Back 43.62 -40.29 44.11 122.74 10 283800 1363 3793579
Right 3.30 30.46 274.20 55.98 11 219301 1475 4537605
Front -30.61 7.21 145.77 82.46 9 377892 1248 2641736
Left 19.21 15.56 113.12 72.36 1 286875 200 15542
Left -5.81 -33.09 82.64 126.10 8 204986 1131 2354276
Left 6.09 17.49 97.70 68.94 8 333126 1131 2349932
Back 37.69 -22.43 39.94 110.91 4 260338 635 383915
Right 10.18 26.29 282.75 60.32 3 391053 500 205250
Front -8.46 -39.71 169.35 130.94 42 298509 4505 134873807
Left -42.10 43.23 46.90 54.95 1 313462 200 19548
Back 34.65 25.54 37.60 65.79 2 370795 356 94953
Left 4.63 23.74 95.87 62.31 1 316028 200 22193
Top -10.34 20.77 296.47 27.27 1 241643 200 17600
Top -3.72 -25.30 81.63 29.61 1 335003 200 16677
Left 0.76 20.33 90.97 65.69 1 384976 200 21113
Right -13.05 3.87 253.83 85.28 4 176318 635 431556
Left -3.48 6.32 85.58 82.03 5 402966 765 695675
Front -18.52 15.40 157.63 72.44 4 338007 635 344752
Right -36.54 -34.47 230.92 120.74 11 340913 1475 4262709
Back -18.03 -30.36 338.16 122.06 1 326852 200 20912
Bottom 23.34 3.51 171.45 152.32 8 333393 1131 2254255
Top -6.02 -36.22 80.56 39.21 2 395120 356 89932
Bottom -1.27 13.84 84.78 162.84 9 293896 1248 2556224
Right 39.19 27.17 311.05 65.52 1 355379 200 12675
Top 2.37 -8.89 104.92 11.55 27 381508 3118 42951246
Bottom 23.24 42.84 118.48 132.72 1 286562 200 22424
Right -10.93 -22.19 256.34 115.61 10 289859 1363 3664092
Right -15.39 5.50 251.12 83.40 18 299239 2224 15678476
Bottom -27.65 -28.17 314.47 138.75 1 310269 200 21260
Top 37.20 -17.23 155.15 42.33 5 364855 765 629240
Back 6.51 35.82 8.23 51.77 15 372202 1910 9792714
Back 12.39 -2.68 15.39 93.29 1 246537 200 21034
Front 40.50 -23.10 221.99 110.89 1 358179 200 18371
Left -3.98 -3.54 84.95 94.48 8 255390 1131 1874847
Back 40.60 8.15 42.06 82.34 16 268688 2016 11619811
Top 44.46 -35.86 141.11 51.77 7 301913 1012 1545657
Back -8.36 -22.21 349.47 115.88 8 277460 1131 1895264
Back -0.19 19.21 359.76 66.88 7 303764 1012 1329067
Bottom -22.06 -32.94 303.82 138.62 1 362958 200 22793
Right -14.03 20.35 252.69 66.65 1 174044 200 19536
Front -33.54 44.35 143.31 51.68 1 126442 200 17383
Left 2.44 -30.32 93.10 123.93 8 213683 1131 2076527
Top 7.12 19.80 250.22 25.06 11 322118 1475 4274253
Bottom -7.14 15.56 65.36 159.17 2 191221 356 57407
Right -44.11 -14.98 225.57 103.37 4 349127 635 439071
Left -2.45 18.02 86.89 68.21 27 296391 3118 42563317
Left 19.37 -6.74 113.29 97.84 6 276800 890 1029219
Bottom 31.85 -21.45 213.96 139.53 1 321944 200 16878
Top 5.95 8.56 235.18 13.04 17 280661 2120 13407685
Bottom 21.41 -3.53 189.36 154.25 2 295215 356 89683
Left -1.03 1.77 88.69 87.74 1 310827 200 21645
Left 1.36 -9.02 91.73 101.33 1 341240 200 21453
Top 10.84 -35.70 106.88 39.66 5 179387 765 659865
Bottom 23.66 -11.42 205.77 149.72 4 278911 635 405421
Back 12.78 -12.63 15.86 105.11 3 310473 500 221228
Back 35.28 33.96 38.10 59.30 5 279964 765 746362
Front 1.31 30.51 181.67 55.87 31 350419 3498 58919926
Left -0.84 -16.67 88.92 110.32 7 339233 1012 1600723
Front 21.89 -8.88 205.94 100.06 3 369403 500 244806
Top 23.73 -7.62 162.20 28.98 3 286448 500 248765
Back -11.85 9.17 345.25 78.85 1 381865 200 21353
Bottom -6.56 21.26 72.84 153.69 12 280332 1586 6123516
Top 2.35 25.42 264.71 29.57 3 352168 500 196412
Right -5.60 -3.45 262.91 94.35 9 165473 1248 3042000
Bottom 12.40 17.41 125.46 154.59 5 322718 765 667606
Top -23.43 -7.11 16.87 28.55 15 256178 1910 10404493
Top -30.93 -1.64 3.04 34.54 31 350612 3498 60502607
Right -10.94 -21.44 256.33 114.85 15 2000 1910 432731514
