Name PL_distance PL_unc MS_distance MS_unc
X000.7-Y065.4-N610 23166.5274545528 456672.65296802064 27581.906456891706 35.73675444975863
X001.3-Y063.9-N1640 14820.84892740725 79478.33947463504 6415.994074913035 8.312942586642084
X002.2-Y076.6-N613 6800.86520058256 13732.680951582714 7548.523170337398 9.780314476023396
X002.4-Y065.4-N781 23709.23948750631 123548.00311921693 24263.992024457028 31.437867658066185
X002.6-Y057.3-N842 7480.182487673013 16545.068884694232 7680.245139217405 9.950981274015069
X002.6-Y064.7-N1142 22131.312732665978 47511.82918343966 25235.299429088638 32.696351159516794
X003.3-Y084.2-N905 5533.070771418498 16124.743607753504 6527.470886524849 8.45737855772479
X003.7-Y068.4-N2717 6643.110460493312 18067.451553808143 6588.891202514126 8.536958363209443
X003.9-Y086.8-N947 6308.006399832481 786267.1442300656 6536.46189751726 8.469027845006401
X006.7-Y058.8-N768 5428.821162523637 11575.913807322977 5516.719792362997 7.147789471910829
X009.0-Y067.2-N1078 5830.269973330893 16515.96709431352 7486.84559695078 9.700401352591575
X013.6-Y116.2-N783 29087.962319433773 63544.256103719876 29028.598066259852 37.61117393157793
X014.6-Y116.5-N545 28574.143597204416 62968.30434167617 31399.314993955068 40.68281543856887
X014.8-Y116.7-N792 29092.781474964242 104696.40054407933 29624.504486156922 38.38326564453403
X015.0-Y118.9-N681 28464.408093955935 4715116.615481135 31497.144133316186 40.809568675762385
X015.4-Y062.2-N999 7372.198768222453 11914662.824311687 7466.619952803248 9.674195808039451
X015.4-Y119.9-N643 30076.621126709168 64600.44646093084 31297.445533392973 40.550827321513715
X015.6-Y117.1-N740 29525.611634665198 62256.62313262899 31916.147694093786 41.35245454873445
X015.8-Y061.3-N819 6175.409146595172 168982.38547842295 6452.516017092586 8.360262581789584
X015.8-Y064.1-N1036 6084.75134470692 125315.83282198138 6496.292068747699 8.416981431562487
X016.4-Y118.6-N640 26619.284705501115 59739.70934101506 30795.49559735427 39.90047120351574
X017.0-Y122.7-N862 29303.436420558653 67368.57030060614 33233.71713006304 43.059575681834204
X018.7-Y122.0-N739 28851.576990289206 60618.44308136325 30671.40939179075 39.73969775350943
X018.7-Y122.4-N529 32087.770534732554 71997.86080697647 32495.288715238064 42.10282401636943
X019.0-Y112.1-N559 30907.272361799205 237804.76424856004 30046.432644514494 38.92994079964812
X019.1-Y112.7-N661 28404.067045778953 58509.49690716393 31280.15207833043 40.52842089510791
X019.4-Y119.8-N669 28230.858112202834 60542.6920940032 28634.316508652166 37.10031935267794
X019.9-Y117.7-N723 28291.274329157535 67915.7686713682 27632.817543943405 35.802717874715505
