Face X Y Equat Polar NumGalax Distance(pc) Radius(pc) Mass(Mo)
Back -12.19 1.91 344.85 87.65 1 24293 200 6300805
Right -1.21 -30.19 268.46 123.84 1 22947 200 6732903
Top 26.01 -1.20 177.37 30.06 6 22910 890 60700589
Front 9.71 2.63 192.17 86.73 18 27487 2224 374533030
Right -19.79 -2.49 246.26 92.90 1 29616 200 5490839
Bottom -28.61 6.72 13.22 146.86 1 28454 200 6735907
Left -13.09 30.62 73.78 56.85 1 21119 200 9285506
Right 25.97 -35.78 299.99 124.55 25 29840 2924 410671073
Right -5.66 -37.28 262.83 129.42 24 17230 2826 449721816
Back -10.13 17.15 347.31 69.60 6 8220 890 58369426
Front -8.54 9.83 169.25 77.89 6 209649 890 1188941
Right -23.30 -0.67 242.63 90.76 6 252397 890 1118042
Back -20.76 19.62 335.23 68.41 4 419421 635 427585
Front 20.36 8.31 204.35 80.45 10 291199 1363 3748920
Top -21.51 15.99 323.38 30.78 6 328519 890 1199238
Top -26.28 -0.11 0.24 30.29 1 173572 200 15089
Back -8.56 -38.07 349.23 129.73 4 311761 635 462846
Right -9.00 8.74 258.69 79.22 4 339901 635 401305
Right -31.72 5.79 234.82 84.00 6 235762 890 1207823
Left 2.21 -27.93 92.81 121.79 1 424545 200 18852
Top 18.52 14.92 218.85 27.85 5 83902 765 724580
Left 38.92 -3.79 130.85 93.64 2 359942 356 105055
Left 30.57 -13.74 124.19 104.18 1 300330 200 17226
Left 26.88 23.47 120.85 65.88 5 357768 765 613295
Bottom 32.80 12.15 159.67 142.14 24 140380 2826 35797488
Bottom 4.60 4.87 133.36 171.53 1 313531 200 17456
Top -22.70 -19.58 40.79 33.67 1 294099 200 21113
Bottom -26.15 -2.84 353.79 149.69 1 249810 200 19372
Right 8.76 25.47 281.02 60.95 28 262929 3214 48588848
Right 8.84 6.99 281.12 81.34 7 364083 1012 1528084
Front -1.01 -37.35 178.71 129.68 3 114482 500 231603
Top -2.54 17.12 278.44 21.04 1 174011 200 19246
Right 25.06 10.93 299.11 78.02 1 343085 200 18468
Top 13.85 22.40 238.27 30.33 18 278192 2224 15249891
Bottom -37.68 6.13 9.24 139.69 8 253016 1131 2095865
Bottom 29.53 -0.77 181.49 146.72 2 300788 356 110790
Front 33.93 2.47 217.01 87.49 1 234290 200 16166
Top 32.46 15.71 205.82 38.71 27 365189 3118 41792279
Top -22.86 -0.39 0.99 26.93 3 253612 500 200656
Bottom 25.22 17.23 145.66 145.84 4 248525 635 413660
Right 16.65 16.19 290.31 71.35 12 344295 1586 5876170
Right -37.86 -31.08 229.93 117.86 3 201560 500 192347
Top 17.89 21.15 229.78 31.62 18 322369 2224 14436931
Back -12.94 -11.08 343.96 103.31 2 174162 356 82234
Back -10.67 20.76 346.66 65.83 3 336493 500 218827
Left 0.88 23.72 91.12 62.21 6 372926 890 1024407
Right -13.56 39.02 253.23 50.30 9 238808 1248 2865958
Left 5.72 -42.75 97.24 133.30 6 199606 890 987731
Bottom -32.81 -40.62 308.93 130.75 6 389332 890 1026570
