Face X Y Equat Polar Type Distance(pc) Radius(pc) NumStars Mass(Mo) BHMass(Mo)
Bottom 39.55 -9.25 193.16 137.93 cD 23102 197 2131 3936174 1093
Bottom 34.68 -10.58 196.96 141.14 SBc 23550 75 950 376866 267
Front 8.31 -43.57 190.47 133.59 Sb 23608 63 846 313749 281
Bottom 38.22 -10.83 195.82 138.57 E5 24983 95 1035 520006 354
Bottom 40.25 -13.23 198.19 136.72 SBb 21050 85 1049 541895 411
Bottom 42.23 -8.21 191.00 136.29 S0 24996 83 1100 386117 240
Bottom 34.92 -6.62 190.74 141.70 SBc 21775 71 983 364534 335
Bottom 44.23 -7.74 189.92 135.06 SBa 20843 95 840 456833 265
Front 7.40 -41.88 189.34 132.56 SBc 23884 72 792 332720 294
Bottom 33.38 -9.85 196.44 142.29 SBb 23389 86 1005 492913 289
Bottom 37.48 -5.26 187.99 139.93 E5 23964 111 1017 745869 355
Bottom 38.14 -10.79 195.79 138.63 E2 23593 157 1411 2083664 521
Bottom 43.19 -7.19 189.45 135.79 S0 23443 100 1097 538078 192
Bottom 40.99 -13.71 198.50 136.16 SBc 24050 74 924 334141 241
Bottom 39.74 -10.83 195.24 137.53 E1 22963 175 1527 2798718 632
Bottom 36.91 -14.65 201.65 138.57 SBc 23011 79 827 343774 295
Bottom 32.83 -6.88 191.83 143.30 SBa 22430 86 983 453392 279
Bottom 39.43 -8.58 192.28 138.12 S0 24091 80 1091 341883 203
Bottom 43.40 -11.93 195.37 134.99 SBa 25523 91 1043 556222 314
Bottom 32.92 -11.63 199.45 142.20 SBb 23974 69 1067 416721 350
Bottom 37.64 -11.05 196.37 138.92 SBb 21587 76 1002 429776 361
Left -29.43 -10.71 56.82 101.27 S0 16992 92 1160 504241 258
Left 35.54 32.29 128.30 60.61 S0 15791 98 945 578400 163
Left 9.05 -35.93 101.37 128.06 SBc 24822 69 908 336525 262
Left 8.30 -36.54 100.45 128.61 SBb 25099 88 863 450787 336
Left 8.99 -36.44 101.30 128.45 S0 25157 89 1160 391815 207
Front -18.49 6.54 157.66 82.34 SBa 20489 92 1103 540268 400
Front -17.82 5.86 158.40 83.10 E6 20523 73 869 313565 330
Right -32.28 19.68 234.34 70.44 S0 25205 83 1159 357482 224
Front 31.72 -41.55 215.18 127.04 E2 29012 160 1477 2178925 573
Front 29.85 -40.54 213.55 126.90 Sc 29195 70 923 361523 324
Front 31.29 -39.51 214.82 125.78 Sa 28719 77 941 397589 296
Front 33.69 -44.27 216.82 128.22 S0 28871 97 1005 446956 173
Front 34.31 -41.34 217.32 126.15 SBc 29224 72 860 355718 243
Front 30.83 -43.02 214.41 128.26 SBc 28652 78 866 344870 266
