Face X Y Equat Polar NumGalax Distance(pc) Radius(pc) Mass(Mo)
Bottom 39.55 -9.25 193.16 137.93 21 23102 2529 291615020
Left -29.22 -10.86 57.01 101.45 1 17006 200 8071386
Left 34.99 32.05 127.87 60.66 1 15805 200 9259689
Left 8.88 -36.13 101.17 128.23 3 24720 500 19024468
Front -17.76 6.60 158.46 82.23 2 20529 356 13713849
Right -32.72 19.92 233.98 70.30 1 25282 200 5729351
Front 31.72 -41.55 215.18 127.04 7 29012 1012 76368905
Front -16.85 31.10 159.47 57.09 1 7907 200 8309475
Left -12.91 -14.30 74.00 106.99 26 26065 3021 330667588
Front 15.26 -19.85 198.73 112.68 5 23786 765 40226797
Right -8.68 18.18 259.08 68.37 1 131723 200 19731
Left 9.90 4.11 102.41 84.90 1 278998 200 17144
Left -11.75 -29.30 75.36 122.21 7 380211 1012 1508882
Top -37.54 -16.29 23.46 42.29 1 225744 200 20139
Front 3.51 -8.83 184.46 101.06 3 351808 500 200824
Back -19.07 3.14 337.03 86.32 2 371473 356 98649
Right -40.90 31.48 227.73 62.63 1 350009 200 19141
Back -21.53 9.85 334.44 78.83 5 239999 765 674627
Right -4.92 5.03 263.76 83.66 6 362228 890 1027619
Bottom 6.24 -22.17 254.29 152.90 2 348516 356 101549
Front -17.22 18.12 159.06 69.39 3 290445 500 171295
Bottom 29.45 -31.77 227.17 136.09 3 360989 500 197797
Right -22.67 -31.11 243.26 121.69 1 269868 200 20049
Bottom 3.07 -23.68 262.61 152.04 1 332697 200 21366
Left -31.48 -4.07 55.03 94.23 3 362527 500 216445
Bottom -41.46 -4.10 354.36 137.21 40 139948 4326 115350165
Back -23.58 -21.87 332.35 113.29 6 343639 890 986589
Back -19.80 32.95 336.25 56.17 6 332843 890 1177042
Back 17.74 -11.20 21.52 103.04 5 301328 765 745906
Front -0.90 34.21 178.85 52.77 10 368535 1363 3812099
Bottom -23.18 40.87 60.44 133.76 1 322806 200 20283
Front -5.39 5.50 173.18 83.08 9 293988 1248 2955939
Right -5.27 -14.72 263.32 108.00 1 329508 200 22351
Top 13.79 -21.15 123.11 29.30 1 249762 200 19293
Left 1.81 12.64 92.30 74.33 4 178363 635 408918
Back 24.16 17.79 28.23 70.80 10 338668 1363 3506014
Left -33.02 -34.19 53.73 121.49 2 274227 356 68608
Front -20.67 37.56 155.33 52.82 5 289392 765 710818
