Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0661 304.6911 47.958 9.813e-16 6.004e-16 2.727e-16 241.6527 812.55
DG0662 305.3168 48.2651 3.836e-16 3.473e-16 1.57e-16 89.2401 812.8
DG0663 304.586 47.9096 4.832e-16 3.796e-16 1.426e-16 120.7564 811.77
DG0664 303.8921 48.1752 4.849e-16 3.387e-16 1.359e-16 77.6481 810.58
DG0665 304.857 47.4865 4.049e-16 2.696e-16 1.46e-16 82.5042 812.16
DG0666 304.2035 48.281 4.868e-16 3.053e-16 2.097e-16 98.442 811.76
DG0667 305.4082 48.1385 4.511e-16 3.847e-16 1.441e-16 86.2151 811.66
DG0668 305.103 47.6986 2.44e-16 2.336e-16 1.379e-16 162.5007 811.37
DG0669 304.7738 48.0924 2.474e-16 2.152e-16 9.381e-17 195.9743 812.23
DG0670 304.7308 47.6171 4.729e-16 2.762e-16 1.594e-16 103.0126 811.37
DG0671 304.835 48.3543 3.086e-16 2.652e-16 1.203e-16 129.9786 811.58
DG0672 304.4852 47.3294 5.158e-16 3.419e-16 1.376e-16 91.6539 811.5
DG0673 304.8934 48.4616 2.969e-16 4.258e-16 1.84e-16 91.6714 812.81
DG0674 303.5843 47.6584 3.512e-16 3.278e-16 1.494e-16 98.1146 812.29
DG0675 304.9961 47.9472 4.356e-16 3.784e-16 1.466e-16 105.8565 812.74
DG0676 304.2904 47.6129 4.705e-16 3.273e-16 1.259e-16 91.3523 812.53
DG0677 304.9933 47.4451 3.066e-16 2.728e-16 1.218e-16 87.4063 812.0
DG0678 304.0768 47.4762 5.462e-16 3.54e-16 1.364e-16 110.6229 811.49
DG0679 304.8053 48.5354 4.783e-16 3.748e-16 1.626e-16 100.1543 810.77
DG0680 304.9286 48.1231 3.618e-16 2.737e-16 1.231e-16 84.5483 811.79
