Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG6116 119.8176 30.0625 1.331e-15 1.083e-15 3.249e-16 305.6207 752.66
DG6117 119.998 30.4856 4.194e-16 3.539e-16 1.226e-16 179.0403 752.89
DG6118 120.0694 29.8036 7.033e-16 4.984e-16 2.688e-16 120.2451 753.34
DG6119 119.0449 29.3358 4.718e-16 4.002e-16 1.79e-16 110.3405 753.56
DG6120 118.7654 30.2627 6.518e-16 3.98e-16 2.328e-16 96.0721 753.18
DG6121 120.081 29.8222 3.77e-16 3.069e-16 1.338e-16 132.2909 751.45
DG6122 120.4372 30.4468 6.368e-16 3.17e-16 1.621e-16 100.6427 753.01
DG6123 121.1038 29.985 5.581e-16 4.034e-16 1.429e-16 96.058 752.83
DG6124 120.0328 29.4325 5.637e-16 4.286e-16 1.694e-16 119.7633 753.7
DG6125 119.496 30.0192 4.823e-16 4.12e-16 1.867e-16 97.8787 752.52
DG6126 118.8229 30.0584 5.07e-16 3.86e-16 1.844e-16 97.6729 752.04
DG6127 120.4702 29.9097 4.714e-16 2.892e-16 1.212e-16 193.8839 752.66
DG6128 120.0717 30.7222 5.091e-16 3.221e-16 1.754e-16 93.4244 753.57
DG6129 120.1925 30.7234 3.478e-16 2.964e-16 1.426e-16 124.9066 753.8
DG6130 120.577 29.3884 5.533e-16 3.67e-16 1.847e-16 110.4951 753.62
DG6131 119.0635 29.4163 3.446e-16 4.201e-16 2.203e-16 93.9932 751.77
DG6132 119.3691 30.6645 6.104e-16 3.031e-16 2.239e-16 98.5939 753.47
DG6133 119.1173 30.3813 4.943e-16 4.467e-16 1.985e-16 106.4136 752.25
DG6134 121.5609 29.7478 4.144e-16 2.399e-16 1.083e-16 123.624 752.56
DG6135 119.209 30.1474 3.185e-16 2.756e-16 1.2e-16 184.6423 751.68
