Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG4512 117.6065 125.5513 2.115e-14 1.645e-14 3.869e-15 1171.7294 191.73
DG4513 115.3221 125.7811 7.319e-15 6.092e-15 2.28e-15 349.1973 192.29
DG4514 118.8075 124.2016 8.615e-15 6.506e-15 2.816e-15 390.367 192.16
DG4515 119.5062 124.7367 7.808e-15 6.572e-15 3.776e-15 416.9251 192.14
DG4516 118.0602 126.0313 4.533e-15 4.467e-15 2.283e-15 409.3934 192.43
DG4517 117.2963 126.4914 5.78e-15 6.518e-15 3.459e-15 394.2144 192.05
DG4518 119.5616 125.5034 1.199e-14 9.874e-15 4.048e-15 452.8229 192.19
DG4519 118.7654 126.1076 7.512e-15 6.924e-15 3e-15 376.6533 192.76
DG4520 118.1974 125.8562 7.653e-15 5.853e-15 2.715e-15 382.6037 192.3
DG4521 119.3184 124.9732 6.774e-15 5.371e-15 2.483e-15 353.529 192.31
