Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG1588 292.7658 96.8158 1.87e-14 2.007e-14 7.252e-15 1180.2743 153.67
DG1589 293.5213 94.6646 1.6e-14 1.167e-14 3.439e-15 488.6746 156.07
DG1590 294.2497 95.2311 7.611e-15 8.14e-15 3.586e-15 407.3499 155.75
DG1591 290.7978 96.4978 1.253e-14 8.303e-15 3.781e-15 437.2671 153.63
DG1592 295.1499 97.4762 1.108e-14 6.824e-15 2.688e-15 390.6651 154.54
DG1593 291.6895 94.948 1.416e-14 9.398e-15 5.148e-15 537.422 155.63
DG1594 291.7249 97.0288 9.478e-15 8.668e-15 3.875e-15 368.7333 153.99
DG1595 293.0739 96.5895 1.235e-14 8.787e-15 4.601e-15 471.9071 155.44
DG1596 293.6418 94.526 1.22e-14 7.959e-15 3.226e-15 456.5758 154.73
DG1597 293.177 99.1548 1.144e-14 9.098e-15 4.365e-15 510.555 154.35
DG1598 292.1578 97.785 1.045e-14 8.033e-15 4.723e-15 409.0349 155.5
DG1599 293.5098 96.4292 7.451e-15 5.429e-15 2.974e-15 376.4672 156.01
DG1600 293.5044 97.8796 1.002e-14 8.189e-15 4.256e-15 424.6816 154.69
DG1601 292.998 95.9824 8.304e-15 6.903e-15 2.472e-15 456.1439 153.79
DG1602 289.5431 95.5354 1.088e-14 5.373e-15 4.121e-15 384.5257 155.76
DG1603 295.1965 95.1308 9.758e-15 8.185e-15 3.361e-15 431.4588 154.73
DG5819 301.1619 72.5196 1.414e-14 9.781e-15 5.285e-15 567.9661 158.1
DG5820 300.5754 74.0535 1.307e-14 1.365e-14 7.907e-15 482.4127 158.12
