Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG2033 338.5128 82.3986 5.228e-16 4.618e-16 1.499e-16 130.6568 546.2
DG6325 355.9124 76.4576 3.457e-15 1.517e-15 8.34e-16 463.2903 549.74
DG6326 355.4238 76.9452 1.095e-15 7.178e-16 2.631e-16 144.8953 549.09
DG6327 355.9496 76.8475 1.195e-15 8.271e-16 3.192e-16 159.5439 547.75
DG6328 356.185 76.7936 1.083e-15 7.901e-16 2.947e-16 144.9012 550.25
DG6329 356.2453 76.443 1.692e-15 6.946e-16 3.587e-16 138.8106 548.39
DG6330 355.8055 76.8248 1.018e-15 6.69e-16 3.655e-16 173.3178 549.16
DG6331 356.7154 76.3261 1.034e-15 7.52e-16 3.605e-16 129.851 549.63
DG6332 356.6419 76.441 9.364e-16 6.748e-16 4.071e-16 163.129 548.92
DG6333 356.0638 76.693 8.838e-16 6.249e-16 3.771e-16 139.1675 550.16
DG6334 356.0739 76.6122 7.744e-16 6.896e-16 2.825e-16 239.4105 549.66
DG6335 355.826 76.2691 1.006e-15 6.117e-16 3.392e-16 128.2575 549.83
DG6336 356.1728 76.9019 1.017e-15 6.088e-16 3.252e-16 124.5695 550.99
DG6337 356.2601 77.2118 7.391e-16 7.367e-16 4.25e-16 149.0049 549.23
DG6338 355.8687 77.3494 9.872e-16 8.371e-16 2.578e-16 131.8441 550.94
DG6339 356.532 76.5296 1.034e-15 9.195e-16 4.772e-16 124.6434 550.1
