Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0924 330.5443 129.9967 3.407e-16 4.361e-16 1.611e-16 186.8098 1115.37
DG0925 331.2521 130.3035 2.926e-16 2.068e-16 7.903e-17 56.8244 1113.44
DG0926 329.9013 130.0305 1.574e-16 1.195e-16 5.305e-17 97.8225 1113.59
DG0927 329.961 129.7458 1.874e-16 1.273e-16 7.93e-17 62.2771 1113.74
DG0928 331.0797 129.8184 1.798e-16 1.807e-16 6.362e-17 68.9979 1115.67
DG0929 330.2458 129.6915 2.223e-16 1.284e-16 5.869e-17 54.8455 1115.01
DG0930 330.1795 129.7834 2.23e-16 1.712e-16 7.442e-17 77.2261 1113.86
DG0931 329.7977 129.9385 2e-16 1.557e-16 5.952e-17 56.5205 1115.81
DG0932 330.7592 129.5899 1.989e-16 1.326e-16 8.177e-17 59.6219 1113.56
DG0933 330.5768 130.261 2.167e-16 1.807e-16 6.218e-17 64.3873 1113.94
DG0934 330.0573 130.2843 1.789e-16 1.32e-16 5.201e-17 103.4058 1113.97
DG0935 331.1261 129.563 2.584e-16 1.784e-16 9.697e-17 62.8802 1116.42
DG0936 330.5192 130.0877 1.084e-16 1.201e-16 5.121e-17 136.2942 1114.68
DG0937 330.1663 130.0212 2.023e-16 1.073e-16 4.998e-17 126.5747 1115.35
DG0938 330.3899 129.6838 2.415e-16 2.006e-16 9.582e-17 68.347 1116.15
DG0939 330.1217 130.3374 2.628e-16 1.616e-16 6.677e-17 75.4645 1113.44
DG0940 330.0443 129.5158 1.596e-16 1.753e-16 6.64e-17 74.5948 1113.94
DG0941 331.3492 130.1118 2.4e-16 1.626e-16 7.889e-17 61.2969 1114.09
DG0942 330.4966 130.134 2.593e-16 1.963e-16 8.175e-17 63.5529 1113.97
DG0943 329.671 130.1659 2.013e-16 1.951e-16 9.431e-17 57.0769 1114.62
DG0944 331.2678 129.8379 1.458e-16 1.314e-16 5.617e-17 71.2762 1114.51
DG0945 329.6099 129.7529 1.309e-16 1.384e-16 5.056e-17 73.8977 1113.98
DG0946 331.1762 130.1815 1.645e-16 1.519e-16 4.767e-17 102.0747 1115.29
DG0947 329.7219 130.2985 1.932e-16 1.44e-16 7.754e-17 62.2163 1116.68
DG0948 331.085 129.5389 2.517e-16 1.344e-16 7.104e-17 67.8883 1113.63
DG0949 330.1765 129.6288 1.97e-16 1.558e-16 6.027e-17 54.2189 1115.24
DG0950 331.4594 130.0354 1.799e-16 1.316e-16 6.244e-17 54.4228 1113.88
DG0951 330.221 130.3925 1.838e-16 2.293e-16 8.108e-17 76.3714 1115.71
DG0952 330.3107 129.8471 2.405e-16 1.443e-16 7.647e-17 61.244 1114.16
DG0953 331.0025 130.0032 1.939e-16 1.123e-16 5.585e-17 114.9884 1115.31
DG0954 331.3243 129.5576 1.424e-16 1.537e-16 6.65e-17 56.2046 1113.72
