Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG5806 78.926 103.213 9.981e-17 6.85e-17 3.223e-17 70.9721 1551.58
DG5807 78.781 103.2451 1.63e-16 1.326e-16 4.202e-17 45.2824 1552.55
DG5808 78.9725 103.2289 1.2e-16 1.174e-16 4.14e-17 54.6701 1551.89
DG5809 78.9919 103.1737 1.513e-16 8.433e-17 5.011e-17 53.9215 1551.79
DG5810 78.8157 103.1862 1.54e-16 9.719e-17 4.614e-17 45.0826 1552.15
DG5922 87.5861 107.8365 2.222e-16 1.857e-16 6.294e-17 127.2252 1579.67
DG5923 87.5007 107.6212 6.614e-17 7.653e-17 3.148e-17 41.4788 1579.13
DG5924 87.4969 107.9487 7.151e-17 5.216e-17 2.119e-17 79.1654 1579.07
DG5925 87.5338 108.0917 1.17e-16 8.936e-17 3.688e-17 42.7851 1579.64
DG5926 87.6383 108.0654 7.65e-17 8.451e-17 3.528e-17 50.0303 1579.68
DG5927 87.6835 107.5585 9.848e-17 7.805e-17 2.062e-17 44.5693 1582.12
DG5928 87.387 108.0061 1.164e-16 8.033e-17 3.816e-17 49.0182 1580.15
DG5929 87.6866 107.7125 1.153e-16 9.604e-17 4.837e-17 44.0749 1580.6
DG5930 87.4039 107.6905 1.019e-16 9.313e-17 2.824e-17 42.5782 1580.22
DG5931 87.7043 107.7806 9.879e-17 7.845e-17 4.871e-17 47.2305 1580.36
DG5932 87.6526 108.0268 7.916e-17 6.693e-17 3.5e-17 39.266 1580.2
DG5933 87.7066 107.6751 5.029e-17 6.042e-17 1.854e-17 55.7436 1580.16
DG5934 87.5338 107.6728 5.349e-17 6.867e-17 3.442e-17 40.7209 1580.59
DG5935 87.5243 107.7436 4.548e-17 3.024e-17 1.824e-17 93.0015 1581.32
DG5936 87.2881 107.8168 1.34e-16 7.681e-17 4.276e-17 49.0811 1580.6
DG5937 87.6124 107.6576 7.747e-17 7.089e-17 3.743e-17 37.3043 1580.34
DG5938 87.5384 107.9832 1.029e-16 7.134e-17 3.035e-17 46.2533 1580.75
