Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0820 98.9453 38.9665 1.835e-15 1.316e-15 5.761e-16 246.175 312.71
DG2747 115.9591 38.3842 3.687e-15 3.135e-15 1.038e-15 320.0116 303.25
DG2748 116.2386 38.5169 3.689e-15 2.703e-15 1.476e-15 245.36 303.26
DG2749 115.6688 38.384 4.122e-15 3.027e-15 1.394e-15 328.2522 303.8
DG2750 115.366 38.2134 3.727e-15 2.978e-15 1.598e-15 306.214 303.68
DG3012 74.8982 27.0181 2.867e-15 2.227e-15 9.074e-16 235.2751 313.37
DG6228 104.899 30.8397 3.335e-15 2.085e-15 1.202e-15 228.8175 282.16
DG6229 105.4622 30.5885 2.647e-15 2.022e-15 1.05e-15 224.7319 282.05
DG6230 104.8148 31.1564 1.868e-15 1.931e-15 9.602e-16 233.9938 282.62
DG6231 104.9754 30.7274 2.485e-15 1.646e-15 8.112e-16 288.0426 282.09
