Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG4301 253.5972 139.9884 3.66e-15 2.693e-15 8.022e-16 517.8622 400.66
DG4302 251.4708 138.8193 1.783e-15 1.129e-15 5.312e-16 169.5529 400.79
DG4303 254.2308 140.4145 1.511e-15 1.143e-15 4.629e-16 340.3409 400.28
DG4304 252.1988 141.2008 1.468e-15 1.172e-15 5.902e-16 174.2349 401.4
DG4305 253.4977 139.3451 9.005e-16 9.916e-16 5.171e-16 261.0275 401.44
DG4306 252.594 140.9748 1.54e-15 1.15e-15 5.776e-16 152.1101 403.5
DG4307 255.7008 141.1604 1.306e-15 6.997e-16 2.996e-16 217.9513 400.9
DG4308 252.9336 139.9041 1.33e-15 8.597e-16 3.983e-16 341.3149 401.03
DG4309 253.3073 141.0349 2.187e-15 1.313e-15 5.859e-16 198.1939 402.6
DG4310 252.1531 140.4009 9.275e-16 7.55e-16 3.042e-16 277.7093 401.05
DG4311 253.2353 140.2965 1.714e-15 1.47e-15 5.582e-16 199.7731 400.14
DG4312 253.9496 138.7554 1.424e-15 9.713e-16 5.135e-16 149.5138 401.17
DG4313 252.663 138.8706 8.926e-16 6.381e-16 4.409e-16 211.4564 401.02
DG4314 254.0955 140.4197 1.431e-15 1.243e-15 5.031e-16 155.1477 402.21
DG4315 253.677 139.3416 1.439e-15 1.055e-15 5.164e-16 151.1417 401.37
DG4316 253.758 139.7074 1.562e-15 1.282e-15 4.965e-16 186.826 400.74
DG4317 253.2572 139.9111 1.902e-15 1.217e-15 6.308e-16 186.2734 401.45
DG4318 253.2352 139.7689 1.134e-15 8.046e-16 3.873e-16 362.1902 400.69
DG4319 253.4538 139.601 1.494e-15 1.333e-15 6.426e-16 193.2878 401.61
DG4320 255.9079 139.7384 2.023e-15 1.416e-15 7.965e-16 178.3696 400.68
DG4321 253.9473 139.6635 9.958e-16 8.602e-16 4.367e-16 261.0884 402.05
DG4322 253.3345 139.2054 8.961e-16 1.001e-15 3.957e-16 212.3517 401.27
DG4323 255.0583 139.464 1.715e-15 1.105e-15 5.618e-16 238.7548 401.62
DG6426 259.7423 150.3509 1.019e-15 7.906e-16 4.225e-16 204.3822 387.13
