Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG4088 90.0209 129.1323 6.263e-15 4.669e-15 1.597e-15 775.5191 313.14
DG4089 90.8845 128.0374 2.087e-15 1.654e-15 9.163e-16 207.7428 313.18
DG4090 89.0673 128.8914 2.565e-15 2.209e-15 9.099e-16 240.7511 313.98
DG4091 89.9626 128.2179 2.776e-15 1.911e-15 7.185e-16 268.0064 312.69
DG4092 90.4671 128.5949 1.879e-15 1.473e-15 5.894e-16 239.0543 313.82
DG4093 89.418 129.8168 3.306e-15 1.623e-15 1.019e-15 220.326 313.16
DG4094 89.4233 129.9839 1.615e-15 1.35e-15 6.685e-16 326.3642 313.11
DG4095 88.5248 129.7628 3.39e-15 2.301e-15 9.682e-16 256.4656 313.34
DG4096 92.0221 128.3226 2.726e-15 2.099e-15 1.122e-15 307.9171 313.43
DG4097 90.7892 129.128 2.445e-15 1.799e-15 7.781e-16 238.8561 312.98
DG4098 90.9948 128.9531 2.459e-15 1.662e-15 8.639e-16 187.3899 313.65
DG4099 90.1405 127.7885 2.209e-15 2.289e-15 8.095e-16 289.7482 313.0
DG4100 88.552 128.8054 2.43e-15 2.89e-15 8.871e-16 221.85 313.93
DG4101 90.8515 129.779 3.118e-15 1.994e-15 8.582e-16 209.8874 313.92
DG4102 90.4127 129.2301 2.911e-15 2.305e-15 9.056e-16 231.3218 313.0
