Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG3062 125.4337 132.8059 2.29e-16 1.845e-16 6.885e-17 71.9156 1768.07
DG3063 125.6255 132.7189 6.949e-17 5.162e-17 2.404e-17 49.8549 1766.51
DG3064 125.1354 132.6489 1.128e-16 7.801e-17 4.317e-17 39.4823 1768.02
DG3065 125.4539 132.6065 7.757e-17 6.279e-17 2.574e-17 70.7587 1768.62
DG3066 125.5869 133.147 6.42e-17 5.421e-17 2.227e-17 40.9258 1769.78
DG3067 125.817 132.5844 5.249e-17 3.41e-17 2.546e-17 40.7074 1767.15
DG3068 125.1317 132.5211 7.644e-17 5.737e-17 3.106e-17 49.022 1769.32
DG3069 125.8134 132.704 9.766e-17 5.716e-17 3.713e-17 39.3456 1767.83
DG3070 125.7778 133.0063 6.36e-17 4.87e-17 2.312e-17 40.5045 1766.61
DG3071 125.6734 132.5991 8.938e-17 8.392e-17 3.205e-17 49.4222 1766.68
DG3072 125.4776 132.5586 7.395e-17 6.042e-17 3.441e-17 70.9163 1768.53
DG3073 125.1868 132.88 1.028e-16 7.707e-17 2.534e-17 37.3871 1768.26
DG3074 125.4401 132.8333 5.363e-17 4.436e-17 2.19e-17 120.376 1768.95
DG3075 125.6856 132.9379 5.721e-17 5.844e-17 2.376e-17 52.7931 1767.17
DG3076 125.594 133.2002 1.136e-16 6.146e-17 3.603e-17 46.3283 1769.76
DG3077 125.0333 132.742 9.168e-17 1.022e-16 2.814e-17 45.1484 1767.53
DG3078 125.4121 132.6347 1.132e-16 6.839e-17 3.87e-17 44.2619 1767.26
DG3079 125.0657 132.9054 8.165e-17 6.973e-17 3.507e-17 40.1121 1767.3
DG3080 125.0819 132.7002 4.936e-17 5.568e-17 2.211e-17 68.5387 1767.88
DG3081 125.0592 132.603 5.214e-17 4.88e-17 1.509e-17 54.8047 1768.79
DG3082 125.5621 133.2386 1.005e-16 7.401e-17 3.647e-17 46.5271 1769.42
DG3083 125.524 133.2229 8.338e-17 6.459e-17 2.926e-17 47.2861 1766.52
DG3084 125.2744 132.8506 1.13e-16 7.648e-17 3.521e-17 36.0048 1767.5
DG3085 125.4213 132.8903 6.038e-17 5.091e-17 2.41e-17 60.3454 1768.68
DG3086 125.676 132.9097 8.719e-17 6.801e-17 3.58e-17 36.901 1768.93
